#scalar perturbations for mode k = 1.000000000000e-03 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm          
       7.895096792334e+01       1.950024083599e-04      -1.350891484844e+00       2.362443756402e-05       7.537194253208e-07       1.884298563302e-06       3.403772257486e-11       3.768597126604e-07      -1.013168613633e+00       2.362443759040e-05       5.895774640837e-01       6.625797902681e-01      -1.350891483784e+00       2.361643679342e-05       2.421288870944e-04      -1.013168614717e+00       2.363534017493e-05 
       7.897005966596e+01       1.950555340949e-04      -1.350873127658e+00       2.362924742876e-05       7.542845170640e-07       1.885711292660e-06       3.408190869947e-11       3.771422585320e-07      -1.013154845743e+00       2.362924746023e-05       5.895856505042e-01       6.625845299238e-01      -1.350873126394e+00       2.362124067565e-05       2.422491174992e-04      -1.013154847035e+00       2.364015745149e-05 
       7.898915140857e+01       1.951086627168e-04      -1.350854805174e+00       2.363405753825e-05       7.548498899635e-07       1.887124724909e-06       3.412614047083e-11       3.774249449817e-07      -1.013141103880e+00       2.363405757481e-05       5.895938300605e-01       6.625892609347e-01      -1.350854803706e+00       2.362604479936e-05       2.423693723391e-04      -1.013141105381e+00       2.364497497604e-05 
       7.906863225082e+01       1.953298735332e-04      -1.350778898861e+00       2.365408513115e-05       7.572066240042e-07       1.893016560011e-06       3.431077371883e-11       3.786033120021e-07      -1.013084174146e+00       2.365408518899e-05       5.896278087576e-01       6.626088639297e-01      -1.350778896543e+00       2.364604743773e-05       2.428702679542e-04      -1.013084176515e+00       2.366503347340e-05 
       7.914811309306e+01       1.955511343844e-04      -1.350703590248e+00       2.367411693955e-05       7.595682637454e-07       1.898920659364e-06       3.449620359131e-11       3.797841318727e-07      -1.013027692686e+00       2.367411701879e-05       5.896616691109e-01       6.626283180305e-01      -1.350703587077e+00       2.366605423490e-05       2.433715871727e-04      -1.013027695927e+00       2.368509624243e-05 
       7.922759393530e+01       1.957724452704e-04      -1.350628876344e+00       2.369415294234e-05       7.619348348225e-07       1.904837087056e-06       3.468243447284e-11       3.809674174112e-07      -1.012971657258e+00       2.369415304313e-05       5.896954116191e-01       6.626476239850e-01      -1.350628872316e+00       2.368606516970e-05       2.438733300815e-04      -1.012971661372e+00       2.370516326206e-05 
       7.930707477755e+01       1.959938061912e-04      -1.350554754167e+00       2.371419311840e-05       7.643063620929e-07       1.910765905232e-06       3.486947070145e-11       3.821531810464e-07      -1.012916065625e+00       2.371419324086e-05       5.897290367799e-01       6.626667825383e-01      -1.350554749281e+00       2.370608022093e-05       2.443754967674e-04      -1.012916070616e+00       2.372523451118e-05 
       7.938655561979e+01       1.962152171467e-04      -1.350481220755e+00       2.373423744667e-05       7.666828696652e-07       1.916707174163e-06       3.505731657060e-11       3.833414348326e-07      -1.012860915566e+00       2.373423759094e-05       5.897625450892e-01       6.626857944316e-01      -1.350481215008e+00       2.372609936748e-05       2.448780873166e-04      -1.012860921436e+00       2.374530996877e-05 
       7.946603646203e+01       1.964366781371e-04      -1.350408273163e+00       2.375428590627e-05       7.690643809391e-07       1.922660952348e-06       3.524597633163e-11       3.845321904695e-07      -1.012806204872e+00       2.375428607249e-05       5.897959370398e-01       6.627046604008e-01      -1.350408266553e+00       2.374612258839e-05       2.453811018148e-04      -1.012806211623e+00       2.376538961398e-05 
       7.969384513161e+01       1.970717087477e-04      -1.350202409743e+00       2.381177167623e-05       7.759182141988e-07       1.939795535497e-06       3.579126174963e-11       3.879591070994e-07      -1.012651807307e+00       2.381177190608e-05       5.898910050316e-01       6.627579322490e-01      -1.350202400642e+00       2.380353570281e-05       2.468251960016e-04      -1.012651816598e+00       2.382296508046e-05 
