#scalar perturbations for mode k = 1.000000000000e-03 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm          
       2.481530010929e+02       7.791983728160e-04      -1.431736409740e+00       6.667727185753e-05       5.652818526351e-05       1.279339875633e-04       7.254536865691e-08       2.558682750720e-05      -1.073802435390e+00       6.668241859279e-05       6.005102971706e-01       6.449269393351e-01      -1.431712344129e+00       6.636907474426e-05       2.281078424071e-03      -1.073818023020e+00       6.690524904302e-05 
       2.483850565756e+02       7.801552875179e-04      -1.431866409217e+00       6.673394001530e-05       5.732422201115e-05       1.283676565593e-04       7.292782968511e-08       2.567356466847e-05      -1.073899936199e+00       6.673914411298e-05       6.004934238573e-01       6.448995992665e-01      -1.431842248107e+00       6.642483172763e-05       2.285175845075e-03      -1.073915575593e+00       6.696244937458e-05 
       2.486171120583e+02       7.811126287313e-04      -1.431996269834e+00       6.679059701574e-05       5.810568506710e-05       1.288429043304e-04       7.335679742688e-08       2.576861739421e-05      -1.073997332876e+00       6.679586027993e-05       6.004770505845e-01       6.448722982957e-01      -1.431972012943e+00       6.648057637115e-05       2.289276684418e-03      -1.074013024144e+00       6.701963985960e-05 
       2.488491675411e+02       7.820703964562e-04      -1.432125994220e+00       6.684724304577e-05       5.887448325382e-05       1.293566115557e-04       7.383092213473e-08       2.587136184218e-05      -1.074094627394e+00       6.685256708597e-05       6.004611218510e-01       6.448450357649e-01      -1.432101641265e+00       6.653630879143e-05       2.293380941282e-03      -1.074110370646e+00       6.707682061657e-05 
       2.490812230238e+02       7.830285906926e-04      -1.432255584738e+00       6.690387826389e-05       5.963234607974e-05       1.299059595688e-04       7.434891225592e-08       2.598123429889e-05      -1.074191821525e+00       6.690926454148e-05       6.004455875750e-01       6.448178110825e-01      -1.432231135435e+00       6.659202909284e-05       2.297488614859e-03      -1.074207616871e+00       6.713399175172e-05 
       2.493132785065e+02       7.839872114406e-04      -1.432385043506e+00       6.696050280496e-05       6.038084232931e-05       1.304883993601e-04       7.490953795488e-08       2.609772498037e-05      -1.074288916858e+00       6.696595266890e-05       6.004304025263e-01       6.447906237177e-01      -1.432360497573e+00       6.664773736857e-05       2.301599704344e-03      -1.074304764409e+00       6.719115336013e-05 
       2.495453339892e+02       7.849462587000e-04      -1.432514372426e+00       6.701711678407e-05       6.112139669712e-05       1.311016238007e-04       7.551163339445e-08       2.622037247706e-05      -1.074385914820e+00       6.702263149826e-05       6.004155258184e-01       6.447634731947e-01      -1.432489729579e+00       6.670343370170e-05       2.305714208939e-03      -1.074401814685e+00       6.724830552673e-05 
       2.498640527060e+02       7.862641660771e-04      -1.432691791855e+00       6.709485673208e-05       6.212792637023e-05       1.319902438221e-04       7.640417271915e-08       2.639809990391e-05      -1.074518981164e+00       6.710046246215e-05       6.003955286653e-01       6.447262423369e-01      -1.432667015438e+00       6.677991100641e-05       2.311370877678e-03      -1.074534953059e+00       6.732678643875e-05 
       2.501827714227e+02       7.875828780212e-04      -1.432868973388e+00       6.717257715219e-05       6.312490623766e-05       1.329281965232e-04       7.737022125568e-08       2.658569371196e-05      -1.074651869116e+00       6.717827604821e-05       6.003759585900e-01       6.446890792111e-01      -1.432844062864e+00       6.685636608726e-05       2.317033985106e-03      -1.074667913248e+00       6.740524985276e-05 
       2.505014901395e+02       7.889023945322e-04      -1.433045920332e+00       6.725027821593e-05       6.411498341416e-05       1.339112583820e-04       7.840735784484e-08       2.678230922659e-05      -1.074784581155e+00       6.725607235380e-05       6.003567410376e-01       6.446519829887e-01      -1.433020875162e+00       6.693279908472e-05       2.322703529195e-03      -1.074800697731e+00       6.748369591411e-05 
       2.508202088563e+02       7.902227156103e-04      -1.433222635519e+00       6.732796006141e-05       6.510049437567e-05       1.349357283404e-04       7.951338538748e-08       2.698720626236e-05      -1.074917119407e+00       6.733385147446e-05       6.003378107522e-01       6.446149529594e-01      -1.433197455163e+00       6.700921011730e-05       2.328379507923e-03      -1.074933308635e+00       6.756212474613e-05 
       2.511389275731e+02       7.915438412554e-04      -1.433399121361e+00       6.740562279895e-05       6.608350623092e-05       1.359983586727e-04       8.068632315013e-08       2.719973529728e-05      -1.075049485682e+00       6.741161350049e-05       6.003191105283e-01       6.445779885182e-01      -1.433373805279e+00       6.708559928399e-05       2.334061919282e-03      -1.075065747768e+00       6.764053645266e-05 
       2.514576462899e+02       7.928657714676e-04      -1.433575379893e+00       6.748326651542e-05       6.706585279402e-05       1.370962944983e-04       8.192439788732e-08       2.741932537559e-05      -1.075181681506e+00       6.748935851438e-05       6.003005901253e-01       6.445410891544e-01      -1.433549927543e+00       6.716196666614e-05       2.339750761269e-03      -1.075198016658e+00       6.771893111990e-05 
       2.517763650067e+02       7.941885062467e-04      -1.433751412818e+00       6.756089127792e-05       6.804916553878e-05       1.382270218693e-04       8.322603384844e-08       2.764547372582e-05      -1.075313708158e+00       6.756708659010e-05       6.002822053356e-01       6.445042544400e-01      -1.433725823658e+00       6.723831232968e-05       2.345446031886e-03      -1.075330116583e+00       6.779730881860e-05 
       2.522185870945e+02       7.960251328326e-04      -1.433995287367e+00       6.766856430162e-05       6.941780394453e-05       1.398461231223e-04       8.513476551337e-08       2.796929793520e-05      -1.075496616842e+00       6.767490633089e-05       6.002568490708e-01       6.444532527119e-01      -1.433969507481e+00       6.734420602978e-05       2.353358861705e-03      -1.075513127275e+00       6.790602984338e-05 
       2.526608091824e+02       7.978633083349e-04      -1.434238733308e+00       6.777620102129e-05       7.079449140466e-05       1.415190073609e-04       8.716005833891e-08       2.830387873870e-05      -1.075679204135e+00       6.778269374185e-05       6.002315896486e-01       6.444023740049e-01      -1.434212761644e+00       6.745005812218e-05       2.361284058493e-03      -1.075695816976e+00       6.801471842731e-05 
       2.531030312702e+02       7.997030327534e-04      -1.434481752878e+00       6.788380148358e-05       7.218216955838e-05       1.432413492849e-04       8.929935291935e-08       2.864835110891e-05      -1.075861471718e+00       6.789044894808e-05       6.002063510912e-01       6.443516177544e-01      -1.434455588384e+00       6.755586867427e-05       2.369221616948e-03      -1.075878187365e+00       6.812337465071e-05 
       2.535452533581e+02       8.015443060882e-04      -1.434724347666e+00       6.799136569909e-05       7.358338874399e-05       1.450094847625e-04       9.155063295453e-08       2.900198224780e-05      -1.076043420784e+00       6.799817205092e-05       6.001810690234e-01       6.443009835578e-01      -1.434697989284e+00       6.766163772267e-05       2.377171531777e-03      -1.076060239634e+00       6.823199856307e-05 
       2.539874754460e+02       8.033871283392e-04      -1.434966518707e+00       6.809889364809e-05       7.500037435906e-05       1.468202989427e-04       9.391237552397e-08       2.936414921017e-05      -1.076225052111e+00       6.810586313019e-05       6.001556886993e-01       6.442504711512e-01      -1.434939965377e+00       6.776736527760e-05       2.385133797687e-03      -1.076241974563e+00       6.834059018752e-05 
       2.544296975338e+02       8.052314995066e-04      -1.435208266559e+00       6.820638528502e-05       7.643508298175e-05       1.486711314938e-04       9.638350493663e-08       2.973431995191e-05      -1.076406366119e+00       6.821352224596e-05       6.001301633465e-01       6.442000803895e-01      -1.435181517218e+00       6.787305132643e-05       2.393108409385e-03      -1.076423392572e+00       6.844914952431e-05 
       2.548719196217e+02       8.070774195903e-04      -1.435449591378e+00       6.831384054236e-05       7.788924800331e-05       1.505596993994e-04       9.896334985088e-08       3.011203788974e-05      -1.076587362927e+00       6.832114944138e-05       6.001044528194e-01       6.441498112284e-01      -1.435422644960e+00       6.797869583705e-05       2.401095361576e-03      -1.076604493778e+00       6.855767655421e-05 
       2.555087724441e+02       8.097384873057e-04      -1.435796384341e+00       6.846852489787e-05       8.002068223396e-05       1.533418681263e-04       1.028691114090e-07       3.066847816576e-05      -1.076847462385e+00       6.847608947679e-05       6.000670326689e-01       6.440776313616e-01      -1.435769152229e+00       6.813076351293e-05       2.412619202212e-03      -1.076864744282e+00       6.871391164907e-05 
       2.561456252666e+02       8.124027673889e-04      -1.436142297988e+00       6.862313330800e-05       8.219971530983e-05       1.561933186313e-04       1.070000320553e-07       3.123877514439e-05      -1.077106902522e+00       6.863096341367e-05       6.000290706492e-01       6.440057041526e-01      -1.436114777956e+00       6.828274474349e-05       2.424168609495e-03      -1.077124336289e+00       6.887007950896e-05 
       2.567824780890e+02       8.150702598396e-04      -1.436487329780e+00       6.877766540083e-05       8.442989883018e-05       1.591099725402e-04       1.113575988170e-07       3.182211319633e-05      -1.077365681439e+00       6.878577125360e-05       5.999904953224e-01       6.439340302204e-01      -1.436459519592e+00       6.843463928466e-05       2.435743567524e-03      -1.077383267900e+00       6.902617992819e-05 
       2.574193309114e+02       8.177409646580e-04      -1.436831476372e+00       6.893212075609e-05       8.671437300794e-05       1.620884381964e-04       1.159443629349e-07       3.241781403297e-05      -1.077623796636e+00       6.894051296391e-05       5.999512476213e-01       6.438626103849e-01      -1.436803373784e+00       6.858644685141e-05       2.447344060348e-03      -1.077641536613e+00       6.918221266009e-05 
       2.580561837339e+02       8.204148818440e-04      -1.437174733765e+00       6.908649891252e-05       8.905595744060e-05       1.651258535724e-04       1.207638006497e-07       3.302530528966e-05      -1.077881245120e+00       6.909518848449e-05       5.999112782101e-01       6.437914456291e-01      -1.437146336525e+00       6.873816712483e-05       2.458970071964e-03      -1.077899139434e+00       6.933817742406e-05 
       2.586930365563e+02       8.230920113976e-04      -1.437517097430e+00       6.924079937360e-05       9.145722585151e-05       1.682197567535e-04       1.258201929264e-07       3.364409462353e-05      -1.078138023500e+00       6.924979773325e-05       5.998705453409e-01       6.437205370695e-01      -1.437488403276e+00       6.888979975765e-05       2.470621586309e-03      -1.078156072972e+00       6.949407391112e-05 
       2.593298893787e+02       8.257723533189e-04      -1.437858562397e+00       6.939502161199e-05       9.392056083644e-05       1.713679899664e-04       1.311185235280e-07       3.427375051971e-05      -1.078394128057e+00       6.940434061056e-05       5.998290132776e-01       6.436498859314e-01      -1.437829569060e+00       6.904134437866e-05       2.482298587257e-03      -1.078412333507e+00       6.964990178833e-05 
       2.603082953497e+02       8.298964590222e-04      -1.438381396588e+00       6.963180172975e-05       9.783101239031e-05       1.763061745954e-04       1.397428346654e-07       3.526140283726e-05      -1.078786263069e+00       6.964163743761e-05       5.997635806020e-01       6.435418481676e-01      -1.438351939172e+00       6.927399213969e-05       2.500287746481e-03      -1.078804709741e+00       6.988916786466e-05 
       2.612867013206e+02       8.340281467515e-04      -1.438902076352e+00       6.986839378654e-05       1.019007336309e-04       1.813619112373e-04       1.489743017996e-07       3.627256711335e-05      -1.079176782780e+00       6.987877688303e-05       5.996960957506e-01       6.434344262026e-01      -1.438872149451e+00       6.950642974466e-05       2.518336963451e-03      -1.079195472598e+00       7.012826980732e-05 
       2.622651072916e+02       8.381674165070e-04      -1.439420579830e+00       7.010479554629e-05       1.061368053055e-04       1.865296086847e-04       1.588381837516e-07       3.730612526213e-05      -1.079565670828e+00       7.011575844873e-05       5.996264807534e-01       6.433276254390e-01      -1.439390178010e+00       6.973865561925e-05       2.536446178700e-03      -1.079584605709e+00       7.036720618033e-05 
       2.632435132625e+02       8.423142682885e-04      -1.439936884207e+00       7.034100466935e-05       1.105459575562e-04       1.918040481959e-04       1.693618617907e-07       3.836103369956e-05      -1.079952910135e+00       7.035258160953e-05       5.995546703576e-01       6.432214515182e-01      -1.439906002008e+00       6.997066812458e-05       2.554615332329e-03      -1.079972091986e+00       7.060597548297e-05 
       2.642219192335e+02       8.464687020961e-04      -1.440450965947e+00       7.057701872315e-05       1.151346590970e-04       1.971802017600e-04       1.805745120142e-07       3.943628699790e-05      -1.080338483082e+00       7.058924582418e-05       5.994806093646e-01       6.431159102612e-01      -1.440419597880e+00       7.020246556828e-05       2.572844363990e-03      -1.080357913803e+00       7.084457616087e-05 
       2.652003252044e+02       8.506307179299e-04      -1.440962800988e+00       7.081283519143e-05       1.199091847070e-04       2.026530881240e-04       1.925068171321e-07       4.053088909251e-05      -1.080722371659e+00       7.082575054474e-05       5.994042506126e-01       6.430110076192e-01      -1.440930941540e+00       7.043404621393e-05       2.591133212874e-03      -1.080742053140e+00       7.108300661540e-05 
       2.661787311753e+02       8.548003157897e-04      -1.441472364901e+00       7.104845148154e-05       1.248756518373e-04       2.082176822618e-04       2.051907300515e-07       4.164383517675e-05      -1.081104557583e+00       7.106209522321e-05       5.993255537729e-01       6.429067496347e-01      -1.441440008535e+00       7.066540828838e-05       2.609481817696e-03      -1.081124491703e+00       7.132126521108e-05 
       2.673261753348e+02       8.596999508557e-04      -1.442067038801e+00       7.132451632045e-05       1.309527724052e-04       2.148535835085e-04       2.210681677204e-07       4.297105078054e-05      -1.081550579179e+00       7.133906829099e-05       5.992302357494e-01       6.427853086737e-01      -1.442034092577e+00       7.093646164098e-05       2.631076542489e-03      -1.081570811962e+00       7.160046629017e-05 
       2.684736194943e+02       8.646100141422e-04      -1.442658515096e+00       7.160029776572e-05       1.373115447947e-04       2.215999979469e-04       2.380795236681e-07       4.432037303074e-05      -1.081994203649e+00       7.161581963673e-05       5.991316091746e-01       6.426647726496e-01      -1.442624971329e+00       7.120720894069e-05       2.652753269373e-03      -1.082014737639e+00       7.187942597449e-05 
       2.696210636538e+02       8.695305056492e-04      -1.443246753789e+00       7.187579130217e-05       1.439611723370e-04       2.284480311495e-04       2.562807724785e-07       4.569002343713e-05      -1.082435401066e+00       7.189234843128e-05       5.990296379967e-01       6.425451514524e-01      -1.443212604760e+00       7.147764720093e-05       2.674511896928e-03      -1.082456238787e+00       7.215814149861e-05 
       2.707685078133e+02       8.744614253767e-04      -1.443831715084e+00       7.215099231807e-05       1.509106141002e-04       2.353884260396e-04       2.757287707060e-07       4.707815100917e-05      -1.082874141662e+00       7.216865387921e-05       5.989242956653e-01       6.424264549201e-01      -1.443796953044e+00       7.174777341061e-05       2.696352322791e-03      -1.082895285610e+00       7.243661007228e-05 
       2.719159519728e+02       8.794027733247e-04      -1.444413359588e+00       7.242589611794e-05       1.581685666736e-04       2.424115563561e-04       2.964808964390e-07       4.848283095002e-05      -1.083310395975e+00       7.244473522444e-05       5.988155649907e-01       6.423086927879e-01      -1.444377976760e+00       7.201758454480e-05       2.718274443646e-03      -1.083331848615e+00       7.271482889107e-05 
       2.730633961322e+02       8.843545494931e-04      -1.444991648517e+00       7.270049793626e-05       1.657434404690e-04       2.495074354032e-04       3.185946909665e-07       4.990206640733e-05      -1.083744135001e+00       7.272059175539e-05       5.987034381128e-01       6.421918746376e-01      -1.444955637097e+00       7.228707757560e-05       2.740278155223e-03      -1.083765898772e+00       7.299279514731e-05 
       2.742108402917e+02       8.893167538821e-04      -1.445566543889e+00       7.297479295159e-05       1.736433298007e-04       2.566657416867e-04       3.421275055645e-07       5.133379360119e-05      -1.084175330345e+00       7.299622280902e-05       5.985879165890e-01       6.420760098479e-01      -1.445529896050e+00       7.255624948291e-05       2.762363352300e-03      -1.084197407651e+00       7.327050604075e-05 
       2.755602185867e+02       8.951655794308e-04      -1.446238220848e+00       7.329696092495e-05       1.833598020237e-04       2.651492879090e-04       3.716942570567e-07       5.303058918276e-05      -1.084679118101e+00       7.332007176035e-05       5.984477372149e-01       6.419409866130e-01      -1.446200814545e+00       7.287237695386e-05       2.788439349346e-03      -1.084701567146e+00       7.359675967594e-05 
       2.769095968816e+02       9.010288266154e-04      -1.446905095559e+00       7.361868993102e-05       1.935483543157e-04       2.736867737219e-04       4.033927344903e-07       5.473818309941e-05      -1.085179306524e+00       7.364360714508e-05       5.983029143393e-01       6.418073087502e-01      -1.446866919912e+00       7.318805135031e-05       2.814627715002e-03      -1.085202130521e+00       7.392265184012e-05 
       2.782589751765e+02       9.069064954359e-04      -1.447567112622e+00       7.393997200658e-05       2.042200844983e-04       2.822601398674e-04       4.373112372148e-07       5.645296451752e-05      -1.085675854237e+00       7.396682816660e-05       5.981535020335e-01       6.416749899105e-01      -1.447528156728e+00       7.350326792195e-05       2.840928273160e-03      -1.085699056333e+00       7.424817813886e-05 
       2.796083534715e+02       9.127985858923e-04      -1.448224219713e+00       7.426079921573e-05       2.153852043699e-04       2.908511011717e-04       4.735348268954e-07       5.817127748270e-05      -1.086168722181e+00       7.428973413422e-05       5.979995732887e-01       6.415440429724e-01      -1.448184472651e+00       7.381802202238e-05       2.867340845965e-03      -1.086192305449e+00       7.457333428109e-05 
       2.809577317664e+02       9.187050979846e-04      -1.448876367989e+00       7.458116369129e-05       2.270529693935e-04       2.994412874905e-04       5.121445857314e-07       5.988944910761e-05      -1.086657873917e+00       7.461232446355e-05       5.978412200168e-01       6.414144799398e-01      -1.448835818829e+00       7.413230913421e-05       2.893865253866e-03      -1.086681841354e+00       7.489811610414e-05 
       2.823071100614e+02       9.246260317128e-04      -1.449523512483e+00       7.490105767682e-05       2.392316141672e-04       3.080123895861e-04       5.532169073899e-07       6.160381874569e-05      -1.087143275923e+00       7.493459867441e-05       5.976785529032e-01       6.412863118450e-01      -1.449482150288e+00       7.444612489328e-05       2.920501315657e-03      -1.087167630445e+00       7.522251959791e-05 
       2.836564883563e+02       9.305613870769e-04      -1.450165612457e+00       7.522047356948e-05       2.519282953287e-04       3.165463067708e-04       5.968228294240e-07       6.331076751748e-05      -1.087624897859e+00       7.525655638663e-05       5.975117010947e-01       6.411595486589e-01      -1.450123426294e+00       7.475946511196e-05       2.947248848544e-03      -1.087649642295e+00       7.554654092826e-05 
       2.852546163363e+02       9.376095436080e-04      -1.450919505233e+00       7.559814327230e-05       2.676438235860e-04       3.265809656705e-04       6.518333996917e-07       6.531791776136e-05      -1.088190377655e+00       7.563745526827e-05       5.973088813012e-01       6.410112467372e-01      -1.450876329077e+00       7.512994712018e-05       2.979071062014e-03      -1.088215587418e+00       7.592979431444e-05 
       2.868527443162e+02       9.446779289428e-04      -1.451666220634e+00       7.597512013507e-05       2.841022903875e-04       3.365100405931e-04       7.105848976013e-07       6.730397792828e-05      -1.088750479775e+00       7.601790949831e-05       5.971006745588e-01       6.408649401637e-01      -1.451622039181e+00       7.549975030098e-05       3.011049065292e-03      -1.088776158547e+00       7.631250093037e-05 
       2.884508722962e+02       9.517665430811e-04      -1.452405717827e+00       7.635139287114e-05       3.013092408659e-04       3.463062597310e-04       7.731595252643e-07       6.926349601646e-05      -1.089305174003e+00       7.639791891925e-05       5.968873885627e-01       6.407206387741e-01      -1.452360515812e+00       7.586886891856e-05       3.043182546916e-03      -1.089331325299e+00       7.669465562422e-05 
       2.900490002762e+02       9.588753860229e-04      -1.453137966898e+00       7.672695086481e-05       3.192678336212e-04       3.559439197192e-04       8.396246322402e-07       7.119133379068e-05      -1.089854438326e+00       7.677748351392e-05       5.966693605860e-01       6.405783496688e-01      -1.453091729103e+00       7.623729776737e-05       3.075471192995e-03      -1.089881065486e+00       7.707625377314e-05 
       2.916471282561e+02       9.660044577683e-04      -1.453862949373e+00       7.710178426424e-05       3.379788377543e-04       3.653991355290e-04       9.100320429605e-07       7.308271674845e-05      -1.090398259327e+00       7.715660338861e-05       5.964469546447e-01       6.404380770835e-01      -1.453815660638e+00       7.660503221396e-05       3.107914687435e-03      -1.090425365508e+00       7.745729132523e-05 
       2.932452562361e+02       9.731537583173e-04      -1.454580658604e+00       7.747588406630e-05       3.574406594910e-04       3.746500521881e-04       9.844176203663e-07       7.493327645088e-05      -1.090936632475e+00       7.753527875560e-05       5.962205583405e-01       6.402998222914e-01      -1.454532303838e+00       7.697206823272e-05       3.140512712200e-03      -1.090964220647e+00       7.783776483521e-05 
       2.948433842160e+02       9.803232876699e-04      -1.455291100039e+00       7.784924219247e-05       3.776493985210e-04       3.836770144890e-04       1.062801077068e-06       7.673908445015e-05      -1.091469562326e+00       7.791350991573e-05       5.959905794193e-01       6.401635835372e-01      -1.455241664234e+00       7.733840243524e-05       3.173264947572e-03      -1.091497635264e+00       7.821767149385e-05 
       2.966931364462e+02       9.886469119931e-04      -1.456104349579e+00       7.828045002775e-05       4.019644149802e-04       3.938229922059e-04       1.158521542382e-06       7.876881330360e-05      -1.092079623865e+00       7.835073920615e-05       5.957204754544e-01       6.400084047452e-01      -1.456053643900e+00       7.776153591276e-05       3.211366122471e-03      -1.092108261102e+00       7.865668367468e-05 
       2.985428886764e+02       9.969976366231e-04      -1.456907934592e+00       7.871064555214e-05       4.272587748586e-04       4.036229795764e-04       1.259581411496e-06       8.072940413981e-05      -1.092682448534e+00       7.878737457085e-05       5.954468193076e-01       6.398559076491e-01      -1.456855939206e+00       7.818372244645e-05       3.249672961610e-03      -1.092711653209e+00       7.909493139114e-05 
       3.003926409065e+02       1.005375461560e-03      -1.457701924954e+00       7.913982149433e-05       4.535159489312e-04       4.130585406893e-04       1.365932630978e-06       8.261717383419e-05      -1.093278089519e+00       7.922341677852e-05       5.951703044030e-01       6.397060741533e-01      -1.457648620195e+00       7.860496018170e-05       3.288184963811e-03      -1.093307864457e+00       7.953241368077e-05 
       3.022423931367e+02       1.013780386803e-03      -1.458486412352e+00       7.956797262041e-05       4.807162139854e-04       4.221156125335e-04       1.477501442202e-06       8.442931379906e-05      -1.093866616381e+00       7.965886670478e-05       5.948916309349e-01       6.395588807060e-01      -1.458431778732e+00       7.902524853022e-05       3.326901627119e-03      -1.093896964086e+00       7.996913084527e-05 
       3.040921453668e+02       1.022212412353e-03      -1.459261509553e+00       7.999509575831e-05       5.088370050534e-04       4.307843981444e-04       1.594190312212e-06       8.616386858552e-05      -1.094448114501e+00       8.009372532843e-05       5.946114982190e-01       6.394142984821e-01      -1.459205527779e+00       7.944458816037e-05       3.365822449424e-03      -1.094479037156e+00       8.040508444092e-05 
       3.059418975970e+02       1.030671538210e-03      -1.460027349227e+00       8.042118978042e-05       5.378532903168e-04       4.390591846727e-04       1.715880172639e-06       8.781969947214e-05      -1.095022684189e+00       8.052799371956e-05       5.943305975216e-01       6.392722936801e-01      -1.459970000202e+00       7.986298096048e-05       3.404946929068e-03      -1.095054183663e+00       8.084027724185e-05 
       3.077916498272e+02       1.039157764374e-03      -1.460784082844e+00       8.084625556916e-05       5.677379626767e-04       4.469380925678e-04       1.842432922192e-06       8.939643427903e-05      -1.095590439861e+00       8.096167305798e-05       5.940496053114e-01       6.391328277981e-01      -1.460725347678e+00       8.028043000488e-05       3.444274565441e-03      -1.095622517708e+00       8.127471320612e-05 
       3.098410562362e+02       1.048591602536e-03      -1.461612066977e+00       8.131600390915e-05       6.018274308083e-04       4.552072334177e-04       1.988136452675e-06       9.105141591145e-05      -1.096211674710e+00       8.144147562648e-05       5.937389692663e-01       6.389812212319e-01      -1.461551774252e+00       8.074183978366e-05       3.488083683491e-03      -1.096244394800e+00       8.175516273596e-05 
       3.118904626453e+02       1.058058706903e-03      -1.462429335759e+00       8.178450018564e-05       6.369065405860e-04       4.629992992579e-04       2.139390020222e-06       9.261108938114e-05      -1.096824894197e+00       8.192055891192e-05       5.934298779675e-01       6.388326139772e-01      -1.462367462834e+00       8.120210366877e-05       3.532140892866e-03      -1.096858257655e+00       8.223469809758e-05 
       3.139398690544e+02       1.067559077476e-03      -1.463236166277e+00       8.225175365310e-05       6.729330307039e-04       4.703252551932e-04       2.295948366113e-06       9.407765212081e-05      -1.097430307223e+00       8.239892544560e-05       5.931231370468e-01       6.386869359098e-01      -1.463172690802e+00       8.166123061192e-05       3.576445522331e-03      -1.097464314783e+00       8.271332943575e-05 
       3.159892754634e+02       1.077092714255e-03      -1.464032855260e+00       8.271777600452e-05       7.098639361000e-04       4.771996102991e-04       2.457554820169e-06       9.545401008998e-05      -1.098028137406e+00       8.287657817948e-05       5.928194986553e-01       6.385441120022e-01      -1.463967755173e+00       8.211923100473e-05       3.620996905681e-03      -1.098062789425e+00       8.319106833207e-05 
       3.180386818725e+02       1.086659617240e-03      -1.464819716092e+00       8.318258112178e-05       7.476561414517e-04       4.836397763194e-04       2.623945562292e-06       9.674364950569e-05      -1.098618620831e+00       8.335352053289e-05       5.925196568671e-01       6.384040630723e-01      -1.464752969612e+00       8.257611653519e-05       3.665794382481e-03      -1.098653917311e+00       8.366792766147e-05 
       3.200880882816e+02       1.096259786430e-03      -1.465597076574e+00       8.364618484703e-05       7.862668827773e-04       4.896654427573e-04       2.794853580015e-06       9.795051185722e-05      -1.099202004379e+00       8.382975649404e-05       5.922242442959e-01       6.382667063433e-01      -1.465528662198e+00       8.303190008238e-05       3.710837298755e-03      -1.099237944985e+00       8.414392148700e-05 
       3.221374946906e+02       1.105893221826e-03      -1.466365276926e+00       8.410860475574e-05       8.256541910770e-04       4.952979819863e-04       2.970012261018e-06       9.907887493024e-05      -1.099778544212e+00       8.430529073109e-05       5.919338299907e-01       6.381319559457e-01      -1.466295173416e+00       8.348659562075e-05       3.756125007610e-03      -1.099815128294e+00       8.461906496408e-05 
       3.247904863961e+02       1.118413274147e-03      -1.467346692307e+00       8.470548828022e-05       8.777286842071e-04       5.020423377389e-04       3.202642665230e-06       1.004303400019e-04      -1.100515150824e+00       8.491984462500e-05       5.915661227950e-01       6.379612459741e-01      -1.467274371060e+00       8.407361534453e-05       3.815113233617e-03      -1.100552566454e+00       8.523290977604e-05 
       3.274434781015e+02       1.130989073130e-03      -1.468314118440e+00       8.530046413437e-05       9.309516280070e-04       5.082158858045e-04       3.441401879967e-06       1.016678659754e-04      -1.101241313387e+00       8.553324512042e-05       5.912085687924e-01       6.377945603099e-01      -1.468239544823e+00       8.465887115287e-05       3.874509239934e-03      -1.101279558403e+00       8.584539345985e-05 
       3.300964698069e+02       1.143620618776e-03      -1.469268338473e+00       8.589357880939e-05       9.852434285541e-04       5.138690631998e-04       3.685761344277e-06       1.028015455189e-04      -1.101957621222e+00       8.614550763833e-05       5.908619321648e-01       6.376317014995e-01      -1.469191478342e+00       8.524239896654e-05       3.934311684299e-03      -1.101996692942e+00       8.645655447644e-05 
       3.327494615123e+02       1.156307911085e-03      -1.470210136462e+00       8.648488030299e-05       1.040530167694e-03       5.190512680351e-04       3.935223734550e-06       1.038412628953e-04      -1.102664664247e+00       8.675664957662e-05       5.905268134771e-01       6.374724719044e-01      -1.470130956124e+00       8.582423589722e-05       3.994519249569e-03      -1.102704559528e+00       8.706643246967e-05 
       3.354024532178e+02       1.169050950056e-03      -1.471140293749e+00       8.707441753816e-05       1.096743982152e-03       5.238098379054e-04       4.189326995680e-06       1.047964897045e-04      -1.103363030269e+00       8.736669051329e-05       5.902036603553e-01       6.373166746070e-01      -1.471058759926e+00       8.640442002739e-05       4.055130644506e-03      -1.103403745567e+00       8.767506804634e-05 
       3.380554449232e+02       1.181849735691e-03      -1.472059584693e+00       8.766223981267e-05       1.153823234515e-03       5.281892839479e-04       4.447646742942e-06       1.056761317582e-04      -1.104053301778e+00       8.797565222681e-05       5.898927802672e-01       6.371641144796e-01      -1.471975664480e+00       8.698299014171e-05       4.116144604390e-03      -1.104094833197e+00       8.828250250771e-05 
       3.407084366286e+02       1.194704267988e-03      -1.472968767472e+00       8.824839605322e-05       1.211712467745e-03       5.322308096777e-04       4.709796975480e-06       1.064884329132e-04      -1.104736049062e+00       8.858355820382e-05       5.895943562297e-01       6.370146004820e-01      -1.472882428306e+00       8.755998514594e-05       4.177559891288e-03      -1.104778392410e+00       8.888877726846e-05 
       3.439312743184e+02       1.210394866913e-03      -1.474060694160e+00       8.895828267025e-05       1.283054652305e-03       5.367398553763e-04       5.032909097432e-06       1.073954274887e-04      -1.105556117869e+00       8.932065391764e-05       5.892486901175e-01       6.368368037474e-01      -1.473971373094e+00       8.825885152863e-05       4.252704941247e-03      -1.105599441539e+00       8.962377495445e-05 
