# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=200
# for k=1.04206e-08 to 1.49015 h/Mpc,
# number of wavenumbers equal to 786
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_m                    7:d_tot                  8:phi                    9:psi                
       1.042057218184e-08      -7.514325334422e-12      -5.635744000825e-12      -5.635744000825e-12      -7.514325334418e-12      -5.635744000825e-12      -5.740406121176e-12       6.202348909464e-01       5.934745353216e-01 
       1.066329848923e-08      -7.868464577014e-12      -5.901348432770e-12      -5.901348432771e-12      -7.868464577011e-12      -5.901348432770e-12      -6.010943126890e-12       6.202348909464e-01       5.934745353216e-01 
       1.091167861863e-08      -8.239293887918e-12      -6.179470415949e-12      -6.179470415950e-12      -8.239293887915e-12      -6.179470415949e-12      -6.294230148877e-12       6.202348909464e-01       5.934745353216e-01 
       1.116584426446e-08      -8.627599845820e-12      -6.470699884376e-12      -6.470699884377e-12      -8.627599845816e-12      -6.470699884377e-12      -6.590868076891e-12       6.202348909463e-01       5.934745353216e-01 
       1.142593018872e-08      -9.034206099716e-12      -6.775654574800e-12      -6.775654574800e-12      -9.034206099712e-12      -6.775654574800e-12      -6.901486119750e-12       6.202348909463e-01       5.934745353216e-01 
       1.169207429241e-08      -9.459975115988e-12      -7.094981337004e-12      -7.094981337005e-12      -9.459975115983e-12      -7.094981337005e-12      -7.226743139967e-12       6.202348909463e-01       5.934745353216e-01 
       1.196441768865e-08      -9.905810007801e-12      -7.429357505866e-12      -7.429357505866e-12      -9.905810007796e-12      -7.429357505866e-12      -7.567329051290e-12       6.202348909463e-01       5.934745353216e-01 
       1.224310477751e-08      -1.037265645074e-11      -7.779492338068e-12      -7.779492338069e-12      -1.037265645073e-11      -7.779492338069e-12      -7.923966282101e-12       6.202348909463e-01       5.934745353216e-01 
       1.252828332259e-08      -1.086150468869e-11      -8.146128516534e-12      -8.146128516535e-12      -1.086150468868e-11      -8.146128516535e-12      -8.297411307781e-12       6.202348909463e-01       5.934745353215e-01 
       1.282010452931e-08      -1.137339163431e-11      -8.530043725754e-12      -8.530043725755e-12      -1.137339163431e-11      -8.530043725755e-12      -8.688456255297e-12       6.202348909463e-01       5.934745353215e-01 
       1.311872312515e-08      -1.190940306845e-11      -8.932052301360e-12      -8.932052301361e-12      -1.190940306844e-11      -8.932052301360e-12      -9.097930583413e-12       6.202348909463e-01       5.934745353215e-01 
       1.342429744164e-08      -1.247067594322e-11      -9.353006957437e-12      -9.353006957438e-12      -1.247067594321e-11      -9.353006957438e-12      -9.526702842077e-12       6.202348909462e-01       5.934745353215e-01 
       1.373698949832e-08      -1.305840079363e-11      -9.793800595251e-12      -9.793800595252e-12      -1.305840079362e-11      -9.793800595252e-12      -9.975682514736e-12       6.202348909462e-01       5.934745353215e-01 
       1.405696508867e-08      -1.367382426290e-11      -1.025536819721e-11      -1.025536819721e-11      -1.367382426289e-11      -1.025536819721e-11      -1.044582194747e-11       6.202348909462e-01       5.934745353215e-01 
       1.438439386797e-08      -1.431825174671e-11      -1.073868881007e-11      -1.073868881007e-11      -1.431825174670e-11      -1.073868881007e-11      -1.093811836905e-11       6.202348909462e-01       5.934745353215e-01 
       1.471944944330e-08      -1.499305016216e-11      -1.124478762166e-11      -1.124478762166e-11      -1.499305016215e-11      -1.124478762166e-11      -1.145361600620e-11       6.202348909462e-01       5.934745353215e-01 
       1.506230946556e-08      -1.569965084716e-11      -1.177473813540e-11      -1.177473813541e-11      -1.569965084714e-11      -1.177473813541e-11      -1.199340829850e-11       6.202348909461e-01       5.934745353215e-01 
       1.541315572367e-08      -1.643955259649e-11      -1.232966444741e-11      -1.232966444741e-11      -1.643955259647e-11      -1.232966444741e-11      -1.255864021779e-11       6.202348909461e-01       5.934745353214e-01 
       1.577217424096e-08      -1.721432484096e-11      -1.291074363077e-11      -1.291074363077e-11      -1.721432484094e-11      -1.291074363077e-11      -1.315051069675e-11       6.202348909461e-01       5.934745353214e-01 
       1.613955537381e-08      -1.802561097639e-11      -1.351920823234e-11      -1.351920823234e-11      -1.802561097637e-11      -1.351920823234e-11      -1.377027517201e-11       6.202348909461e-01       5.934745353214e-01 
       1.651549391254e-08      -1.887513184943e-11      -1.415634888713e-11      -1.415634888713e-11      -1.887513184941e-11      -1.415634888713e-11      -1.441924824713e-11       6.202348909460e-01       5.934745353214e-01 
       1.690018918476e-08      -1.976468940776e-11      -1.482351705588e-11      -1.482351705588e-11      -1.976468940774e-11      -1.482351705588e-11      -1.509880648100e-11       6.202348909460e-01       5.934745353214e-01 
       1.729384516098e-08      -2.069617052222e-11      -1.552212789173e-11      -1.552212789173e-11      -2.069617052220e-11      -1.552212789173e-11      -1.581039130775e-11       6.202348909460e-01       5.934745353214e-01 
       1.769667056282e-08      -2.167155098914e-11      -1.625366324193e-11      -1.625366324193e-11      -2.167155098912e-11      -1.625366324193e-11      -1.655551209420e-11       6.202348909460e-01       5.934745353213e-01 
       1.810887897364e-08      -2.269289972127e-11      -1.701967479103e-11      -1.701967479103e-11      -2.269289972124e-11      -1.701967479103e-11      -1.733574934144e-11       6.202348909459e-01       5.934745353213e-01 
       1.853068895179e-08      -2.376238313619e-11      -1.782178735223e-11      -1.782178735223e-11      -2.376238313616e-11      -1.782178735223e-11      -1.815275803728e-11       6.202348909459e-01       5.934745353213e-01 
       1.896232414650e-08      -2.488226975162e-11      -1.866170231381e-11      -1.866170231381e-11      -2.488226975159e-11      -1.866170231381e-11      -1.900827116669e-11       6.202348909459e-01       5.934745353213e-01 
       1.940401341647e-08      -2.605493499722e-11      -1.954120124802e-11      -1.954120124802e-11      -2.605493499718e-11      -1.954120124802e-11      -1.990410338774e-11       6.202348909458e-01       5.934745353213e-01 
       1.985599095119e-08      -2.728286625319e-11      -2.046214969001e-11      -2.046214969001e-11      -2.728286625315e-11      -2.046214969001e-11      -2.084215488066e-11       6.202348909458e-01       5.934745353212e-01 
       2.031849639514e-08      -2.856866812636e-11      -2.142650109490e-11      -2.142650109490e-11      -2.856866812632e-11      -2.142650109490e-11      -2.182441537843e-11       6.202348909458e-01       5.934745353212e-01 
       2.079177497483e-08      -2.991506797489e-11      -2.243630098131e-11      -2.243630098131e-11      -2.991506797485e-11      -2.243630098131e-11      -2.285296838728e-11       6.202348909457e-01       5.934745353212e-01 
       2.127607762882e-08      -3.132492169338e-11      -2.349369127019e-11      -2.349369127019e-11      -3.132492169333e-11      -2.349369127019e-11      -2.392999560602e-11       6.202348909457e-01       5.934745353212e-01 
       2.177166114080e-08      -3.280121977059e-11      -2.460091482811e-11      -2.460091482811e-11      -3.280121977053e-11      -2.460091482811e-11      -2.505778155379e-11       6.202348909456e-01       5.934745353211e-01 
       2.227878827569e-08      -3.434709363266e-11      -2.576032022468e-11      -2.576032022469e-11      -3.434709363260e-11      -2.576032022469e-11      -2.623871841580e-11       6.202348909456e-01       5.934745353211e-01 
       2.279772791902e-08      -3.596582228533e-11      -2.697436671419e-11      -2.697436671420e-11      -3.596582228526e-11      -2.697436671420e-11      -2.747531111745e-11       6.202348909455e-01       5.934745353211e-01 
       2.332875521946e-08      -3.766083926908e-11      -2.824562945202e-11      -2.824562945203e-11      -3.766083926900e-11      -2.824562945203e-11      -2.877018263766e-11       6.202348909455e-01       5.934745353211e-01 
       2.387215173470e-08      -3.943573994219e-11      -2.957680495688e-11      -2.957680495689e-11      -3.943573994210e-11      -2.957680495689e-11      -3.012607957253e-11       6.202348909454e-01       5.934745353210e-01 
       2.442820558078e-08      -4.129428910696e-11      -3.097071683048e-11      -3.097071683049e-11      -4.129428910687e-11      -3.097071683049e-11      -3.154587796125e-11       6.202348909454e-01       5.934745353210e-01 
       2.499721158481e-08      -4.324042899534e-11      -3.243032174680e-11      -3.243032174681e-11      -4.324042899524e-11      -3.243032174681e-11      -3.303258938655e-11       6.202348909453e-01       5.934745353210e-01 
       2.557947144129e-08      -4.527828763097e-11      -3.395871572354e-11      -3.395871572356e-11      -4.527828763086e-11      -3.395871572355e-11      -3.458936736270e-11       6.202348909453e-01       5.934745353209e-01 
       2.617529387212e-08      -4.741218758523e-11      -3.555914068927e-11      -3.555914068928e-11      -4.741218758510e-11      -3.555914068928e-11      -3.621951402450e-11       6.202348909452e-01       5.934745353209e-01 
       2.678499479023e-08      -4.964665514601e-11      -3.723499135989e-11      -3.723499135990e-11      -4.964665514588e-11      -3.723499135990e-11      -3.792648713158e-11       6.202348909451e-01       5.934745353208e-01 
       2.740889746712e-08      -5.198642991860e-11      -3.898982243936e-11      -3.898982243938e-11      -5.198642991845e-11      -3.898982243938e-11      -3.971390740276e-11       6.202348909451e-01       5.934745353208e-01 
       2.804733270425e-08      -5.443647487898e-11      -4.082735615969e-11      -4.082735615971e-11      -5.443647487882e-11      -4.082735615970e-11      -4.158556619607e-11       6.202348909450e-01       5.934745353207e-01 
       2.870063900842e-08      -5.700198690100e-11      -4.275149017625e-11      -4.275149017627e-11      -5.700198690082e-11      -4.275149017627e-11      -4.354543355076e-11       6.202348909449e-01       5.934745353207e-01 
       2.936916277130e-08      -5.968840777962e-11      -4.476630583527e-11      -4.476630583529e-11      -5.968840777943e-11      -4.476630583528e-11      -4.559766660825e-11       6.202348909448e-01       5.934745353206e-01 
       3.005325845302e-08      -6.250143577371e-11      -4.687607683088e-11      -4.687607683090e-11      -6.250143577349e-11      -4.687607683090e-11      -4.774661843000e-11       6.202348909448e-01       5.934745353206e-01 
       3.075328877018e-08      -6.544703769277e-11      -4.908527827024e-11      -4.908527827026e-11      -6.544703769254e-11      -4.908527827026e-11      -4.999684723094e-11       6.202348909447e-01       5.934745353205e-01 
       3.146962488811e-08      -6.853146155341e-11      -5.139859616578e-11      -5.139859616581e-11      -6.853146155316e-11      -5.139859616581e-11      -5.235312604805e-11       6.202348909446e-01       5.934745353205e-01 
       3.220264661771e-08      -7.176124983218e-11      -5.382093737493e-11      -5.382093737496e-11      -7.176124983190e-11      -5.382093737495e-11      -5.482045286462e-11       6.202348909445e-01       5.934745353204e-01 
       3.295274261680e-08      -7.514325334303e-11      -5.635744000814e-11      -5.635744000817e-11      -7.514325334272e-11      -5.635744000817e-11      -5.740406121161e-11       6.202348909444e-01       5.934745353204e-01 
       3.372031059620e-08      -7.868464576884e-11      -5.901348432758e-11      -5.901348432762e-11      -7.868464576851e-11      -5.901348432761e-11      -6.010943126873e-11       6.202348909443e-01       5.934745353203e-01 
       3.450575753062e-08      -8.239293887776e-11      -6.179470415936e-11      -6.179470415940e-11      -8.239293887739e-11      -6.179470415939e-11      -6.294230148859e-11       6.202348909442e-01       5.934745353202e-01 
       3.530949987442e-08      -8.627599845663e-11      -6.470699884362e-11      -6.470699884366e-11      -8.627599845623e-11      -6.470699884366e-11      -6.590868076871e-11       6.202348909441e-01       5.934745353201e-01 
       3.613196378243e-08      -9.034206099545e-11      -6.775654574784e-11      -6.775654574789e-11      -9.034206099501e-11      -6.775654574788e-11      -6.901486119728e-11       6.202348909439e-01       5.934745353201e-01 
       3.697358533591e-08      -9.459975115799e-11      -7.094981336987e-11      -7.094981336993e-11      -9.459975115751e-11      -7.094981336992e-11      -7.226743139943e-11       6.202348909438e-01       5.934745353200e-01 
