# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=1600
# for k=1.04206e-08 to 1.49015 h/Mpc,
# number of wavenumbers equal to 786
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_m                    7:d_tot                  8:phi                    9:psi                
       1.042057218184e-08      -5.771687962021e-13      -4.328765971516e-13      -4.328765971516e-13      -5.771687962021e-13      -4.328765971516e-13      -4.790074905931e-13       6.501725788385e-01       6.009828811944e-01 
       1.066329848923e-08      -6.043699235474e-13      -4.532774426605e-13      -4.532774426606e-13      -6.043699235474e-13      -4.532774426606e-13      -5.015824181303e-13       6.501725788384e-01       6.009828811943e-01 
       1.091167861863e-08      -6.328530005298e-13      -4.746397503974e-13      -4.746397503974e-13      -6.328530005298e-13      -4.746397503974e-13      -5.252212692246e-13       6.501725788385e-01       6.009828811943e-01 
       1.116584426446e-08      -6.626784435744e-13      -4.970088326808e-13      -4.970088326808e-13      -6.626784435743e-13      -4.970088326808e-13      -5.499741850485e-13       6.501725788383e-01       6.009828811941e-01 
       1.142593018872e-08      -6.939095164447e-13      -5.204321373335e-13      -5.204321373335e-13      -6.939095164446e-13      -5.204321373335e-13      -5.758936698554e-13       6.501725788383e-01       6.009828811941e-01 
       1.169207429241e-08      -7.266124644335e-13      -5.449593483251e-13      -5.449593483251e-13      -7.266124644334e-13      -5.449593483251e-13      -6.030347023474e-13       6.501725788385e-01       6.009828811943e-01 
       1.196441768865e-08      -7.608566548780e-13      -5.706424911585e-13      -5.706424911586e-13      -7.608566548780e-13      -5.706424911586e-13      -6.314548522935e-13       6.501725788388e-01       6.009828811947e-01 
       1.224310477751e-08      -7.967147242972e-13      -5.975360432229e-13      -5.975360432230e-13      -7.967147242972e-13      -5.975360432229e-13      -6.612144026417e-13       6.501725788386e-01       6.009828811945e-01 
       1.252828332259e-08      -8.342627324640e-13      -6.256970493480e-13      -6.256970493480e-13      -8.342627324639e-13      -6.256970493480e-13      -6.923764773884e-13       6.501725788383e-01       6.009828811941e-01 
       1.282010452931e-08      -8.735803237381e-13      -6.551852428036e-13      -6.551852428036e-13      -8.735803237380e-13      -6.551852428036e-13      -7.250071754724e-13       6.501725788385e-01       6.009828811944e-01 
       1.311872312515e-08      -9.147508960017e-13      -6.860631720013e-13      -6.860631720013e-13      -9.147508960017e-13      -6.860631720013e-13      -7.591757109789e-13       6.501725788386e-01       6.009828811945e-01 
       1.342429744164e-08      -9.578617775585e-13      -7.183963331689e-13      -7.183963331689e-13      -9.578617775584e-13      -7.183963331689e-13      -7.949545599528e-13       6.501725788385e-01       6.009828811943e-01 
       1.373698949832e-08      -1.003004412368e-12      -7.522533092763e-13      -7.522533092763e-13      -1.003004412368e-12      -7.522533092763e-13      -8.324196141299e-13       6.501725788386e-01       6.009828811945e-01 
       1.405696508867e-08      -1.050274554012e-12      -7.877059155089e-13      -7.877059155090e-13      -1.050274554012e-12      -7.877059155090e-13      -8.716503419129e-13       6.501725788386e-01       6.009828811944e-01 
       1.438439386797e-08      -1.099772468797e-12      -8.248293515978e-13      -8.248293515979e-13      -1.099772468797e-12      -8.248293515979e-13      -9.127299569352e-13       6.501725788383e-01       6.009828811942e-01 
       1.471944944330e-08      -1.151603148438e-12      -8.637023613285e-13      -8.637023613286e-13      -1.151603148438e-12      -8.637023613286e-13      -9.557455945683e-13       6.501725788386e-01       6.009828811944e-01 
       1.506230946556e-08      -1.205876532755e-12      -9.044073995660e-13      -9.044073995661e-13      -1.205876532754e-12      -9.044073995660e-13      -1.000788496746e-12       6.501725788384e-01       6.009828811942e-01 
       1.541315572367e-08      -1.262707742872e-12      -9.470308071540e-13      -9.470308071541e-13      -1.262707742872e-12      -9.470308071541e-13      -1.047954205504e-12       6.501725788385e-01       6.009828811943e-01 
       1.577217424096e-08      -1.322217325406e-12      -9.916629940547e-13      -9.916629940548e-13      -1.322217325406e-12      -9.916629940548e-13      -1.097342765633e-12       6.501725788385e-01       6.009828811944e-01 
       1.613955537381e-08      -1.384531508161e-12      -1.038398631120e-12      -1.038398631121e-12      -1.384531508160e-12      -1.038398631121e-12      -1.149058936892e-12       6.501725788387e-01       6.009828811946e-01 
       1.651549391254e-08      -1.449782467871e-12      -1.087336850903e-12      -1.087336850903e-12      -1.449782467870e-12      -1.087336850903e-12      -1.203212416212e-12       6.501725788383e-01       6.009828811942e-01 
       1.690018918476e-08      -1.518108610571e-12      -1.138581457928e-12      -1.138581457929e-12      -1.518108610571e-12      -1.138581457929e-12      -1.259918070385e-12       6.501725788386e-01       6.009828811945e-01 
       1.729384516098e-08      -1.589654865171e-12      -1.192241148878e-12      -1.192241148878e-12      -1.589654865170e-12      -1.192241148878e-12      -1.319296179705e-12       6.501725788381e-01       6.009828811939e-01 
