# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=1800
# for k=1.04206e-08 to 1.49015 h/Mpc,
# number of wavenumbers equal to 786
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_m                    7:d_tot                  8:phi                    9:psi                
       1.042057218184e-08      -4.868455195371e-13      -3.651341396528e-13      -3.651341396528e-13      -4.868455195371e-13      -3.651341396528e-13      -4.072256909132e-13       6.525109683933e-01       6.006136725459e-01 
       1.066329848923e-08      -5.097898419979e-13      -3.823423814985e-13      -3.823423814985e-13      -5.097898419979e-13      -3.823423814985e-13      -4.264176464550e-13       6.525109683932e-01       6.006136725458e-01 
       1.091167861863e-08      -5.338154970624e-13      -4.003616227968e-13      -4.003616227968e-13      -5.338154970624e-13      -4.003616227968e-13      -4.465140909957e-13       6.525109683933e-01       6.006136725458e-01 
       1.116584426446e-08      -5.589734463659e-13      -4.192300847745e-13      -4.192300847745e-13      -5.589734463659e-13      -4.192300847745e-13      -4.675576517885e-13       6.525109683930e-01       6.006136725455e-01 
       1.142593018872e-08      -5.853170532922e-13      -4.389877899691e-13      -4.389877899692e-13      -5.853170532922e-13      -4.389877899692e-13      -4.895929650474e-13       6.525109683930e-01       6.006136725456e-01 
       1.169207429241e-08      -6.129021961634e-13      -4.596766471225e-13      -4.596766471226e-13      -6.129021961634e-13      -4.596766471226e-13      -5.126667706261e-13       6.525109683933e-01       6.006136725459e-01 
       1.196441768865e-08      -6.417873867659e-13      -4.813405400744e-13      -4.813405400745e-13      -6.417873867659e-13      -4.813405400745e-13      -5.368280111598e-13       6.525109683937e-01       6.006136725463e-01 
       1.224310477751e-08      -6.720338944615e-13      -5.040254208461e-13      -5.040254208461e-13      -6.720338944614e-13      -5.040254208461e-13      -5.621279358787e-13       6.525109683934e-01       6.006136725461e-01 
       1.252828332259e-08      -7.037058761483e-13      -5.277794071112e-13      -5.277794071112e-13      -7.037058761482e-13      -5.277794071112e-13      -5.886202093153e-13       6.525109683930e-01       6.006136725456e-01 
       1.282010452931e-08      -7.368705123462e-13      -5.526528842596e-13      -5.526528842597e-13      -7.368705123461e-13      -5.526528842597e-13      -6.163610251339e-13       6.525109683934e-01       6.006136725460e-01 
       1.311872312515e-08      -7.715981496946e-13      -5.786986122709e-13      -5.786986122710e-13      -7.715981496946e-13      -5.786986122710e-13      -6.454092253237e-13       6.525109683934e-01       6.006136725460e-01 
       1.342429744164e-08      -8.079624501684e-13      -6.059718376263e-13      -6.059718376263e-13      -8.079624501683e-13      -6.059718376263e-13      -6.758264250118e-13       6.525109683933e-01       6.006136725458e-01 
       1.373698949832e-08      -8.460405473246e-13      -6.345304104934e-13      -6.345304104935e-13      -8.460405473245e-13      -6.345304104935e-13      -7.076771431571e-13       6.525109683935e-01       6.006136725461e-01 
       1.405696508867e-08      -8.859132099121e-13      -6.644349074341e-13      -6.644349074341e-13      -8.859132099121e-13      -6.644349074341e-13      -7.410289394028e-13       6.525109683934e-01       6.006136725460e-01 
       1.438439386797e-08      -9.276650131942e-13      -6.957487598957e-13      -6.957487598957e-13      -9.276650131942e-13      -6.957487598957e-13      -7.759525573804e-13       6.525109683931e-01       6.006136725456e-01 
       1.471944944330e-08      -9.713845183439e-13      -7.285383887579e-13      -7.285383887580e-13      -9.713845183438e-13      -7.285383887579e-13      -8.125220747663e-13       6.525109683934e-01       6.006136725460e-01 
