# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=1400
# for k=1.04206e-08 to 1.49015 h/Mpc,
# number of wavenumbers equal to 786
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_m                    7:d_tot                  8:phi                    9:psi                
       1.042057218184e-08      -6.972126011904e-13      -5.229094508928e-13      -5.229094508928e-13      -6.972126011904e-13      -5.229094508928e-13      -5.737021685799e-13       6.474169079286e-01       6.010037733589e-01 
       1.066329848923e-08      -7.300712187672e-13      -5.475534140754e-13      -5.475534140754e-13      -7.300712187672e-13      -5.475534140754e-13      -6.007399187986e-13       6.474169079285e-01       6.010037733588e-01 
       1.091167861863e-08      -7.644784152815e-13      -5.733588114611e-13      -5.733588114612e-13      -7.644784152815e-13      -5.733588114612e-13      -6.290519189279e-13       6.474169079285e-01       6.010037733588e-01 
       1.116584426446e-08      -8.005071730098e-13      -6.003803797574e-13      -6.003803797574e-13      -8.005071730098e-13      -6.003803797574e-13      -6.586982225155e-13       6.474169079283e-01       6.010037733586e-01 
       1.142593018872e-08      -8.382339137781e-13      -6.286754353336e-13      -6.286754353336e-13      -8.382339137780e-13      -6.286754353336e-13      -6.897417133463e-13       6.474169079283e-01       6.010037733586e-01 
       1.169207429241e-08      -8.777386610616e-13      -6.583039957962e-13      -6.583039957962e-13      -8.777386610615e-13      -6.583039957962e-13      -7.222482388265e-13       6.474169079285e-01       6.010037733588e-01 
       1.196441768865e-08      -9.191052097258e-13      -6.893289072943e-13      -6.893289072944e-13      -9.191052097257e-13      -6.893289072944e-13      -7.562867496549e-13       6.474169079288e-01       6.010037733592e-01 
       1.224310477751e-08      -9.624213037660e-13      -7.218159778245e-13      -7.218159778246e-13      -9.624213037660e-13      -7.218159778246e-13      -7.919294460762e-13       6.474169079286e-01       6.010037733590e-01 
       1.252828332259e-08      -1.007778822426e-12      -7.558341168193e-13      -7.558341168194e-13      -1.007778822426e-12      -7.558341168194e-13      -8.292519310285e-13       6.474169079285e-01       6.010037733587e-01 
       1.282010452931e-08      -1.055273975083e-12      -7.914554813123e-13      -7.914554813123e-13      -1.055273975083e-12      -7.914554813123e-13      -8.683333705062e-13       6.474169079285e-01       6.010037733589e-01 
