# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=20
# for k=1.04206e-08 to 1.49015 h/Mpc,
# number of wavenumbers equal to 786
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_m                    7:d_tot                  8:phi                    9:psi                
       1.042057218184e-08      -7.901580158668e-11      -5.926185119158e-11      -5.926185119158e-11      -7.901580158663e-11      -5.926185119158e-11      -5.938287309357e-11       6.031086942790e-01       5.993973976445e-01 
       1.066329848923e-08      -8.273970158843e-11      -6.205477619304e-11      -6.205477619304e-11      -8.273970158837e-11      -6.205477619304e-11      -6.218150168156e-11       6.031086942790e-01       5.993973976444e-01 
       1.091167861863e-08      -8.663910359034e-11      -6.497932769464e-11      -6.497932769464e-11      -8.663910359028e-11      -6.497932769464e-11      -6.511202557144e-11       6.031086942790e-01       5.993973976444e-01 
       1.116584426446e-08      -9.072227874686e-11      -6.804170906221e-11      -6.804170906221e-11      -9.072227874679e-11      -6.804170906221e-11      -6.818066079727e-11       6.031086942789e-01       5.993973976444e-01 
       1.142593018872e-08      -9.499788801993e-11      -7.124841601721e-11      -7.124841601722e-11      -9.499788801986e-11      -7.124841601722e-11      -7.139391634579e-11       6.031086942789e-01       5.993973976444e-01 
       1.169207429241e-08      -9.947500055006e-11      -7.460625041503e-11      -7.460625041503e-11      -9.947500054998e-11      -7.460625041503e-11      -7.475860796283e-11       6.031086942788e-01       5.993973976443e-01 
       1.196441768865e-08      -1.041631128932e-10      -7.812233467261e-11      -7.812233467261e-11      -1.041631128931e-10      -7.812233467261e-11      -7.828187261042e-11       6.031086942788e-01       5.993973976443e-01 
       1.224310477751e-08      -1.090721691641e-10      -8.180412687607e-11      -8.180412687607e-11      -1.090721691640e-10      -8.180412687607e-11      -8.197118360525e-11       6.031086942788e-01       5.993973976443e-01 
       1.252828332259e-08      -1.142125821294e-10      -8.565943660031e-11      -8.565943660031e-11      -1.142125821293e-10      -8.565943660031e-11      -8.583436647058e-11       6.031086942787e-01       5.993973976443e-01 
       1.282010452931e-08      -1.195952552941e-10      -8.969644147414e-11      -8.969644147414e-11      -1.195952552939e-10      -8.969644147414e-11      -8.987961553520e-11       6.031086942787e-01       5.993973976442e-01 
       1.311872312515e-08      -1.252316060296e-10      -9.392370452614e-11      -9.392370452614e-11      -1.252316060295e-10      -9.392370452614e-11      -9.411551131474e-11       6.031086942787e-01       5.993973976442e-01 
       1.342429744164e-08      -1.311335897916e-10      -9.835019234802e-11      -9.835019234802e-11      -1.311335897915e-10      -9.835019234802e-11      -9.855103871207e-11       6.031086942786e-01       5.993973976442e-01 
       1.373698949832e-08      -1.373137254789e-10      -1.029852941139e-10      -1.029852941139e-10      -1.373137254787e-10      -1.029852941139e-10      -1.031956060755e-10       6.031086942786e-01       5.993973976441e-01 
       1.405696508867e-08      -1.437851219878e-10      -1.078388414961e-10      -1.078388414961e-10      -1.437851219877e-10      -1.078388414961e-10      -1.080590651550e-10       6.031086942785e-01       5.993973976441e-01 
       1.438439386797e-08      -1.505615060181e-10      -1.129211295193e-10      -1.129211295193e-10      -1.505615060179e-10      -1.129211295193e-10      -1.131517319995e-10       6.031086942785e-01       5.993973976440e-01 
       1.471944944330e-08      -1.576572511887e-10      -1.182429383978e-10      -1.182429383978e-10      -1.576572511885e-10      -1.182429383978e-10      -1.184844088381e-10       6.031086942784e-01       5.993973976440e-01 
       1.506230946556e-08      -1.650874085265e-10      -1.238155564017e-10      -1.238155564017e-10      -1.650874085263e-10      -1.238155564017e-10      -1.240684069933e-10       6.031086942784e-01       5.993973976440e-01 
       1.541315572367e-08      -1.728677383914e-10      -1.296508038010e-10      -1.296508038011e-10      -1.728677383911e-10      -1.296508038011e-10      -1.299155708739e-10       6.031086942783e-01       5.993973976439e-01 
       1.577217424096e-08      -1.810147439061e-10      -1.357610579378e-10      -1.357610579378e-10      -1.810147439058e-10      -1.357610579378e-10      -1.360383030983e-10       6.031086942782e-01       5.993973976439e-01 
       1.613955537381e-08      -1.895457059617e-10      -1.421592794803e-10      -1.421592794803e-10      -1.895457059614e-10      -1.421592794803e-10      -1.424495908027e-10       6.031086942782e-01       5.993973976438e-01 
       1.651549391254e-08      -1.984787198723e-10      -1.488590399141e-10      -1.488590399141e-10      -1.984787198720e-10      -1.488590399141e-10      -1.491630331876e-10       6.031086942781e-01       5.993973976438e-01 
       1.690018918476e-08      -2.078327337582e-10      -1.558745503295e-10      -1.558745503295e-10      -2.078327337579e-10      -1.558745503295e-10      -1.561928703646e-10       6.031086942780e-01       5.993973976437e-01 
