# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=900
# for k=1.04206e-08 to 1.49015 h/Mpc,
# number of wavenumbers equal to 786
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_m                    7:d_tot                  8:phi                    9:psi                
       1.042057218184e-08      -1.266406995940e-12      -9.498052469551e-13      -9.498052469552e-13      -1.266406995940e-12      -9.498052469551e-13      -1.016025030801e-12       6.392554075353e-01       5.925732224888e-01 
       1.066329848923e-08      -1.326090918900e-12      -9.945681891751e-13      -9.945681891752e-13      -1.326090918900e-12      -9.945681891752e-13      -1.063908815286e-12       6.392554075352e-01       5.925732224887e-01 
       1.091167861863e-08      -1.388587658491e-12      -1.041440743869e-12      -1.041440743869e-12      -1.388587658491e-12      -1.041440743869e-12      -1.114049293009e-12       6.392554075353e-01       5.925732224887e-01 
       1.116584426446e-08      -1.454029778677e-12      -1.090522334008e-12      -1.090522334008e-12      -1.454029778677e-12      -1.090522334008e-12      -1.166552818645e-12       6.392554075352e-01       5.925732224887e-01 
       1.142593018872e-08      -1.522556090969e-12      -1.141917068227e-12      -1.141917068227e-12      -1.522556090969e-12      -1.141917068227e-12      -1.221530759213e-12       6.392554075352e-01       5.925732224886e-01 
       1.169207429241e-08      -1.594311948863e-12      -1.195733961647e-12      -1.195733961647e-12      -1.594311948862e-12      -1.195733961647e-12      -1.279099730294e-12       6.392554075352e-01       5.925732224887e-01 
       1.196441768865e-08      -1.669449556153e-12      -1.252087167115e-12      -1.252087167115e-12      -1.669449556153e-12      -1.252087167115e-12      -1.339381843395e-12       6.392554075353e-01       5.925732224888e-01 
       1.224310477751e-08      -1.748128289779e-12      -1.311096217334e-12      -1.311096217334e-12      -1.748128289778e-12      -1.311096217334e-12      -1.402504964960e-12       6.392554075353e-01       5.925732224888e-01 
       1.252828332259e-08      -1.830515037883e-12      -1.372886278412e-12      -1.372886278412e-12      -1.830515037882e-12      -1.372886278412e-12      -1.468602987593e-12       6.392554075353e-01       5.925732224887e-01 
       1.282010452931e-08      -1.916784553803e-12      -1.437588415352e-12      -1.437588415353e-12      -1.916784553803e-12      -1.437588415353e-12      -1.537816114061e-12       6.392554075352e-01       5.925732224887e-01 
       1.311872312515e-08      -2.007119826750e-12      -1.505339870063e-12      -1.505339870063e-12      -2.007119826750e-12      -1.505339870063e-12      -1.610291154686e-12       6.392554075353e-01       5.925732224888e-01 
       1.342429744164e-08      -2.101712469949e-12      -1.576284352462e-12      -1.576284352462e-12      -2.101712469949e-12      -1.576284352462e-12      -1.686181838746e-12       6.392554075352e-01       5.925732224887e-01 
       1.373698949832e-08      -2.200763127078e-12      -1.650572345309e-12      -1.650572345309e-12      -2.200763127078e-12      -1.650572345309e-12      -1.765649140556e-12       6.392554075352e-01       5.925732224887e-01 
       1.405696508867e-08      -2.304481897861e-12      -1.728361423396e-12      -1.728361423396e-12      -2.304481897861e-12      -1.728361423396e-12      -1.848861620917e-12       6.392554075352e-01       5.925732224887e-01 
       1.438439386797e-08      -2.413088783717e-12      -1.809816587788e-12      -1.809816587788e-12      -2.413088783717e-12      -1.809816587788e-12      -1.935995784658e-12       6.392554075352e-01       5.925732224887e-01 
