# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=2500
# for k=1.04206e-08 to 1.49015 h/Mpc,
# number of wavenumbers equal to 786
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_m                    7:d_tot                  8:phi                    9:psi                
       1.042057218184e-08      -2.973634165491e-13      -2.230225624118e-13      -2.230225624118e-13      -2.973634165491e-13      -2.230225624118e-13      -2.544939252591e-13       6.580252286238e-01       5.986494490963e-01 
       1.066329848923e-08      -3.113777226145e-13      -2.335332919609e-13      -2.335332919609e-13      -3.113777226145e-13      -2.335332919609e-13      -2.664878544443e-13       6.580252286236e-01       5.986494490961e-01 
       1.091167861863e-08      -3.260525025767e-13      -2.445393769325e-13      -2.445393769325e-13      -3.260525025767e-13      -2.445393769325e-13      -2.790470400975e-13       6.580252286236e-01       5.986494490962e-01 
       1.116584426446e-08      -3.414188836113e-13      -2.560641627085e-13      -2.560641627085e-13      -3.414188836113e-13      -2.560641627085e-13      -2.921981219351e-13       6.580252286230e-01       5.986494490955e-01 
       1.142593018872e-08      -3.575094598731e-13      -2.681320949048e-13      -2.681320949048e-13      -3.575094598731e-13      -2.681320949048e-13      -3.059689951651e-13       6.580252286230e-01       5.986494490955e-01 
       1.169207429241e-08      -3.743583616316e-13      -2.807687712237e-13      -2.807687712237e-13      -3.743583616316e-13      -2.807687712237e-13      -3.203888696560e-13       6.580252286237e-01       5.986494490963e-01 
       1.196441768865e-08      -3.920013276663e-13      -2.940009957497e-13      -2.940009957497e-13      -3.920013276663e-13      -2.940009957497e-13      -3.354883318948e-13       6.580252286247e-01       5.986494490974e-01 
       1.224310477751e-08      -4.104757810730e-13      -3.078568358048e-13      -3.078568358048e-13      -4.104757810730e-13      -3.078568358048e-13      -3.512994098648e-13       6.580252286241e-01       5.986494490967e-01 
       1.252828332259e-08      -4.298209086447e-13      -3.223656814836e-13      -3.223656814836e-13      -4.298209086447e-13      -3.223656814836e-13      -3.678556409826e-13       6.580252286231e-01       5.986494490956e-01 
       1.282010452931e-08      -4.500777439914e-13      -3.375583079935e-13      -3.375583079935e-13      -4.500777439914e-13      -3.375583079935e-13      -3.851921432347e-13       6.580252286239e-01       5.986494490965e-01 
       1.311872312515e-08      -4.712892545757e-13      -3.534669409318e-13      -3.534669409318e-13      -4.712892545758e-13      -3.534669409318e-13      -4.033456896660e-13       6.580252286241e-01       5.986494490967e-01 
       1.342429744164e-08      -4.935004328558e-13      -3.701253246418e-13      -3.701253246418e-13      -4.935004328558e-13      -3.701253246418e-13      -4.223547863824e-13       6.580252286237e-01       5.986494490962e-01 
       1.373698949832e-08      -5.167583917189e-13      -3.875687937892e-13      -3.875687937892e-13      -5.167583917189e-13      -3.875687937892e-13      -4.422597542272e-13       6.580252286242e-01       5.986494490968e-01 
       1.405696508867e-08      -5.411124644137e-13      -4.058343483103e-13      -4.058343483103e-13      -5.411124644137e-13      -4.058343483103e-13      -4.631028143052e-13       6.580252286240e-01       5.986494490966e-01 
       1.438439386797e-08      -5.666143091934e-13      -4.249607318951e-13      -4.249607318951e-13      -5.666143091934e-13      -4.249607318951e-13      -4.849281775414e-13       6.580252286232e-01       5.986494490958e-01 
       1.471944944330e-08      -5.933180188909e-13      -4.449885141682e-13      -4.449885141682e-13      -5.933180188909e-13      -4.449885141682e-13      -5.077821384582e-13       6.580252286241e-01       5.986494490967e-01 
       1.506230946556e-08      -6.212802356534e-13      -4.659601767401e-13      -4.659601767401e-13      -6.212802356534e-13      -4.659601767401e-13      -5.317131733697e-13       6.580252286235e-01       5.986494490960e-01 
       1.541315572367e-08      -6.505602710926e-13      -4.879202033195e-13      -4.879202033195e-13      -6.505602710926e-13      -4.879202033195e-13      -5.567720432102e-13       6.580252286238e-01       5.986494490963e-01 
       1.577217424096e-08      -6.812202320889e-13      -5.109151740667e-13      -5.109151740667e-13      -6.812202320889e-13      -5.109151740667e-13      -5.830119012021e-13       6.580252286239e-01       5.986494490965e-01 
       1.613955537381e-08      -7.133251525305e-13      -5.349938643979e-13      -5.349938643979e-13      -7.133251525305e-13      -5.349938643979e-13      -6.104884056025e-13       6.580252286245e-01       5.986494490972e-01 
       1.651549391254e-08      -7.469431312567e-13      -5.602073484426e-13      -5.602073484426e-13      -7.469431312567e-13      -5.602073484426e-13      -6.392598377598e-13       6.580252286233e-01       5.986494490958e-01 
       1.690018918476e-08      -7.821454765100e-13      -5.866091073825e-13      -5.866091073826e-13      -7.821454765100e-13      -5.866091073826e-13      -6.693872257412e-13       6.580252286243e-01       5.986494490969e-01 
       1.729384516098e-08      -8.190068571816e-13      -6.142551428862e-13      -6.142551428862e-13      -8.190068571815e-13      -6.142551428862e-13      -7.009344737734e-13       6.580252286227e-01       5.986494490952e-01 
       1.769667056282e-08      -8.576054612050e-13      -6.432040959037e-13      -6.432040959038e-13      -8.576054612049e-13      -6.432040959038e-13      -7.339684978017e-13       6.580252286238e-01       5.986494490964e-01 
       1.810887897364e-08      -8.980231613922e-13      -6.735173710441e-13      -6.735173710442e-13      -8.980231613921e-13      -6.735173710442e-13      -7.685593674183e-13       6.580252286240e-01       5.986494490966e-01 
       1.853068895179e-08      -9.403456891043e-13      -7.052592668282e-13      -7.052592668282e-13      -9.403456891042e-13      -7.052592668282e-13      -8.047804544953e-13       6.580252286234e-01       5.986494490959e-01 
       1.896232414650e-08      -9.846628160982e-13      -7.384971120736e-13      -7.384971120737e-13      -9.846628160981e-13      -7.384971120737e-13      -8.427085888158e-13       6.580252286240e-01       5.986494490967e-01 
       1.940401341647e-08      -1.031068544940e-12      -7.733014087053e-13      -7.733014087053e-13      -1.031068544940e-12      -7.733014087053e-13      -8.824242210366e-13       6.580252286238e-01       5.986494490964e-01 
       1.985599095119e-08      -1.079661308405e-12      -8.097459813036e-13      -8.097459813036e-13      -1.079661308405e-12      -8.097459813036e-13      -9.240115933393e-13       6.580252286243e-01       5.986494490969e-01 
       2.031849639514e-08      -1.130544178256e-12      -8.479081336924e-13      -8.479081336924e-13      -1.130544178256e-12      -8.479081336924e-13      -9.675589181155e-13       6.580252286241e-01       5.986494490967e-01 
       2.079177497483e-08      -1.183825083885e-12      -8.878688129134e-13      -8.878688129135e-13      -1.183825083884e-12      -8.878688129134e-13      -1.013158565079e-12       6.580252286234e-01       5.986494490960e-01 
       2.127607762882e-08      -1.239617041235e-12      -9.297127809260e-13      -9.297127809261e-13      -1.239617041235e-12      -9.297127809261e-13      -1.060907257197e-12       6.580252286240e-01       5.986494490967e-01 
       2.177166114080e-08      -1.298038392527e-12      -9.735287943953e-13      -9.735287943954e-13      -1.298038392527e-12      -9.735287943954e-13      -1.110906275846e-12       6.580252286238e-01       5.986494490964e-01 
       2.227878827569e-08      -1.359213057281e-12      -1.019409792961e-12      -1.019409792961e-12      -1.359213057281e-12      -1.019409792961e-12      -1.163261675647e-12       6.580252286234e-01       5.986494490960e-01 
       2.279772791902e-08      -1.423270795163e-12      -1.067453096372e-12      -1.067453096372e-12      -1.423270795163e-12      -1.067453096372e-12      -1.218084509424e-12       6.580252286241e-01       5.986494490967e-01 
       2.332875521946e-08      -1.490347481222e-12      -1.117760610916e-12      -1.117760610916e-12      -1.490347481222e-12      -1.117760610916e-12      -1.275491063756e-12       6.580252286236e-01       5.986494490961e-01 
       2.387215173470e-08      -1.560585394103e-12      -1.170439045577e-12      -1.170439045577e-12      -1.560585394102e-12      -1.170439045577e-12      -1.335603105642e-12       6.580252286233e-01       5.986494490958e-01 
       2.442820558078e-08      -1.634133517836e-12      -1.225600138377e-12      -1.225600138377e-12      -1.634133517836e-12      -1.225600138377e-12      -1.398548140783e-12       6.580252286236e-01       5.986494490962e-01 
       2.499721158481e-08      -1.711147857855e-12      -1.283360893391e-12      -1.283360893391e-12      -1.711147857855e-12      -1.283360893391e-12      -1.464459684039e-12       6.580252286247e-01       5.986494490974e-01 
       2.557947144129e-08      -1.791791771894e-12      -1.343843828920e-12      -1.343843828920e-12      -1.791791771893e-12      -1.343843828920e-12      -1.533477542625e-12       6.580252286230e-01       5.986494490955e-01 
       2.617529387212e-08      -1.876236316513e-12      -1.407177237385e-12      -1.407177237385e-12      -1.876236316513e-12      -1.407177237385e-12      -1.605748112678e-12       6.580252286237e-01       5.986494490963e-01 
       2.678499479023e-08      -1.964660609912e-12      -1.473495457434e-12      -1.473495457434e-12      -1.964660609911e-12      -1.473495457434e-12      -1.681424689765e-12       6.580252286240e-01       5.986494490966e-01 
       2.740889746712e-08      -2.057252211869e-12      -1.542939158901e-12      -1.542939158902e-12      -2.057252211868e-12      -1.542939158902e-12      -1.760667794049e-12       6.580252286234e-01       5.986494490960e-01 
       2.804733270425e-08      -2.154207521588e-12      -1.615655641191e-12      -1.615655641192e-12      -2.154207521588e-12      -1.615655641191e-12      -1.843645510783e-12       6.580252286234e-01       5.986494490959e-01 
