# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=1000
# for k=1.04206e-08 to 1.49015 h/Mpc,
# number of wavenumbers equal to 786
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_m                    7:d_tot                  8:phi                    9:psi                
       1.042057218184e-08      -1.102553187533e-12      -8.269148906496e-13      -8.269148906497e-13      -1.102553187533e-12      -8.269148906497e-13      -8.895123653315e-13       6.408441654504e-01       5.960302219539e-01 
       1.066329848923e-08      -1.154514918410e-12      -8.658861888075e-13      -8.658861888076e-13      -1.154514918410e-12      -8.658861888076e-13      -9.314337915828e-13       6.408441654503e-01       5.960302219538e-01 
       1.091167861863e-08      -1.208925530218e-12      -9.066941476634e-13      -9.066941476635e-13      -1.208925530218e-12      -9.066941476635e-13      -9.753309137857e-13       6.408441654504e-01       5.960302219539e-01 
       1.116584426446e-08      -1.265900435159e-12      -9.494253263689e-13      -9.494253263690e-13      -1.265900435158e-12      -9.494253263690e-13      -1.021296843622e-12       6.408441654503e-01       5.960302219538e-01 
       1.142593018872e-08      -1.325560484645e-12      -9.941703634834e-13      -9.941703634835e-13      -1.325560484644e-12      -9.941703634835e-13      -1.069429080990e-12       6.408441654503e-01       5.960302219538e-01 
       1.169207429241e-08      -1.388032225640e-12      -1.041024169230e-12      -1.041024169230e-12      -1.388032225639e-12      -1.041024169230e-12      -1.119829720821e-12       6.408441654503e-01       5.960302219538e-01 
       1.196441768865e-08      -1.453448169082e-12      -1.090086126811e-12      -1.090086126812e-12      -1.453448169082e-12      -1.090086126812e-12      -1.172605669628e-12       6.408441654504e-01       5.960302219540e-01 
       1.224310477751e-08      -1.521947070958e-12      -1.141460303218e-12      -1.141460303219e-12      -1.521947070958e-12      -1.141460303219e-12      -1.227868872273e-12       6.408441654504e-01       5.960302219539e-01 
       1.252828332259e-08      -1.593674226623e-12      -1.195255669967e-12      -1.195255669967e-12      -1.593674226622e-12      -1.195255669967e-12      -1.285736549420e-12       6.408441654504e-01       5.960302219538e-01 
       1.282010452931e-08      -1.668781778989e-12      -1.251586334242e-12      -1.251586334242e-12      -1.668781778989e-12      -1.251586334242e-12      -1.346331446170e-12       6.408441654503e-01       5.960302219538e-01 
       1.311872312515e-08      -1.747429041247e-12      -1.310571780935e-12      -1.310571780935e-12      -1.747429041247e-12      -1.310571780935e-12      -1.409782092424e-12       6.408441654504e-01       5.960302219539e-01 
       1.342429744164e-08      -1.829782834783e-12      -1.372337126087e-12      -1.372337126087e-12      -1.829782834783e-12      -1.372337126087e-12      -1.476223075508e-12       6.408441654503e-01       5.960302219538e-01 
       1.373698949832e-08      -1.916017843035e-12      -1.437013382276e-12      -1.437013382276e-12      -1.916017843034e-12      -1.437013382276e-12      -1.545795325656e-12       6.408441654503e-01       5.960302219539e-01 
       1.405696508867e-08      -2.006316982016e-12      -1.504737736512e-12      -1.504737736513e-12      -2.006316982016e-12      -1.504737736513e-12      -1.618646414938e-12       6.408441654503e-01       5.960302219539e-01 
       1.438439386797e-08      -2.100871788309e-12      -1.575653841231e-12      -1.575653841232e-12      -2.100871788308e-12      -1.575653841232e-12      -1.694930870282e-12       6.408441654503e-01       5.960302219538e-01 
       1.471944944330e-08      -2.199882825333e-12      -1.649912119000e-12      -1.649912119000e-12      -2.199882825332e-12      -1.649912119000e-12      -1.774810501245e-12       6.408441654503e-01       5.960302219539e-01 
       1.506230946556e-08      -2.303560108773e-12      -1.727670081580e-12      -1.727670081580e-12      -2.303560108772e-12      -1.727670081580e-12      -1.858454743234e-12       6.408441654503e-01       5.960302219538e-01 
       1.541315572367e-08      -2.412123552047e-12      -1.809092664035e-12      -1.809092664036e-12      -2.412123552046e-12      -1.809092664036e-12      -1.946041016901e-12       6.408441654503e-01       5.960302219538e-01 
       1.577217424096e-08      -2.525803432774e-12      -1.894352574581e-12      -1.894352574581e-12      -2.525803432774e-12      -1.894352574581e-12      -2.037755104475e-12       6.408441654503e-01       5.960302219538e-01 
       1.613955537381e-08      -2.644840881223e-12      -1.983630660917e-12      -1.983630660918e-12      -2.644840881222e-12      -1.983630660918e-12      -2.133791543832e-12       6.408441654503e-01       5.960302219539e-01 
       1.651549391254e-08      -2.769488391781e-12      -2.077116293836e-12      -2.077116293836e-12      -2.769488391780e-12      -2.077116293836e-12      -2.234354041136e-12       6.408441654503e-01       5.960302219538e-01 
       1.690018918476e-08      -2.900010358529e-12      -2.175007768897e-12      -2.175007768897e-12      -2.900010358528e-12      -2.175007768897e-12      -2.339655902926e-12       6.408441654503e-01       5.960302219539e-01 
       1.729384516098e-08      -3.036683636059e-12      -2.277512727044e-12      -2.277512727045e-12      -3.036683636058e-12      -2.277512727045e-12      -2.449920488570e-12       6.408441654502e-01       5.960302219537e-01 
       1.769667056282e-08      -3.179798126716e-12      -2.384848595037e-12      -2.384848595038e-12      -3.179798126715e-12      -2.384848595038e-12      -2.565381684036e-12       6.408441654503e-01       5.960302219538e-01 
       1.810887897364e-08      -3.329657395524e-12      -2.497243046643e-12      -2.497243046643e-12      -3.329657395522e-12      -2.497243046643e-12      -2.686284398001e-12       6.408441654503e-01       5.960302219538e-01 
       1.853068895179e-08      -3.486579314081e-12      -2.614934485561e-12      -2.614934485562e-12      -3.486579314080e-12      -2.614934485562e-12      -2.812885081331e-12       6.408441654502e-01       5.960302219538e-01 
       1.896232414650e-08      -3.650896734819e-12      -2.738172551114e-12      -2.738172551115e-12      -3.650896734817e-12      -2.738172551114e-12      -2.945452271048e-12       6.408441654503e-01       5.960302219538e-01 
       1.940401341647e-08      -3.822958197014e-12      -2.867218647760e-12      -2.867218647761e-12      -3.822958197012e-12      -2.867218647761e-12      -3.084267159936e-12       6.408441654502e-01       5.960302219538e-01 
       1.985599095119e-08      -4.003128666099e-12      -3.002346499574e-12      -3.002346499575e-12      -4.003128666097e-12      -3.002346499575e-12      -3.229624192984e-12       6.408441654503e-01       5.960302219538e-01 
       2.031849639514e-08      -4.191790307793e-12      -3.143842730845e-12      -3.143842730846e-12      -4.191790307791e-12      -3.143842730846e-12      -3.381831691950e-12       6.408441654503e-01       5.960302219538e-01 
       2.079177497483e-08      -4.389343298732e-12      -3.292007474049e-12      -3.292007474050e-12      -4.389343298730e-12      -3.292007474050e-12      -3.541212509344e-12       6.408441654502e-01       5.960302219537e-01 
       2.127607762882e-08      -4.596206675299e-12      -3.447155006474e-12      -3.447155006475e-12      -4.596206675296e-12      -3.447155006475e-12      -3.708104713249e-12       6.408441654502e-01       5.960302219538e-01 
       2.177166114080e-08      -4.812819222447e-12      -3.609614416835e-12      -3.609614416837e-12      -4.812819222444e-12      -3.609614416836e-12      -3.882862304405e-12       6.408441654501e-01       5.960302219537e-01 
       2.227878827569e-08      -5.039640404433e-12      -3.779730303325e-12      -3.779730303326e-12      -5.039640404430e-12      -3.779730303326e-12      -4.065855967093e-12       6.408441654502e-01       5.960302219537e-01 
       2.279772791902e-08      -5.277151339392e-12      -3.957863504544e-12      -3.957863504546e-12      -5.277151339389e-12      -3.957863504545e-12      -4.257473855406e-12       6.408441654502e-01       5.960302219538e-01 
       2.332875521946e-08      -5.525855819862e-12      -4.144391864896e-12      -4.144391864898e-12      -5.525855819859e-12      -4.144391864898e-12      -4.458122416576e-12       6.408441654501e-01       5.960302219537e-01 
       2.387215173470e-08      -5.786281381391e-12      -4.339711036043e-12      -4.339711036045e-12      -5.786281381387e-12      -4.339711036045e-12      -4.668227253102e-12       6.408441654501e-01       5.960302219537e-01 
       2.442820558078e-08      -6.058980421510e-12      -4.544235316132e-12      -4.544235316134e-12      -6.058980421505e-12      -4.544235316134e-12      -4.888234025513e-12       6.408441654501e-01       5.960302219537e-01 
       2.499721158481e-08      -6.344531371444e-12      -4.758398528583e-12      -4.758398528586e-12      -6.344531371440e-12      -4.758398528585e-12      -5.118609397668e-12       6.408441654502e-01       5.960302219538e-01 
       2.557947144129e-08      -6.643539923043e-12      -4.982654942282e-12      -4.982654942285e-12      -6.643539923038e-12      -4.982654942285e-12      -5.359842026620e-12       6.408441654501e-01       5.960302219536e-01 
       2.617529387212e-08      -6.956640313534e-12      -5.217480235151e-12      -5.217480235154e-12      -6.956640313529e-12      -5.217480235153e-12      -5.612443599116e-12       6.408441654501e-01       5.960302219537e-01 
       2.678499479023e-08      -7.284496670823e-12      -5.463372503118e-12      -5.463372503121e-12      -7.284496670818e-12      -5.463372503120e-12      -5.876949916960e-12       6.408441654501e-01       5.960302219537e-01 
       2.740889746712e-08      -7.627804422200e-12      -5.720853316650e-12      -5.720853316654e-12      -7.627804422193e-12      -5.720853316653e-12      -6.153922033514e-12       6.408441654500e-01       5.960302219536e-01 
       2.804733270425e-08      -7.987291769434e-12      -5.990468827076e-12      -5.990468827080e-12      -7.987291769428e-12      -5.990468827079e-12      -6.443947443772e-12       6.408441654500e-01       5.960302219536e-01 
       2.870063900842e-08      -8.363721233387e-12      -6.272790925040e-12      -6.272790925044e-12      -8.363721233379e-12      -6.272790925044e-12      -6.747641330513e-12       6.408441654500e-01       5.960302219536e-01 
       2.936916277130e-08      -8.757891271418e-12      -6.568418453564e-12      -6.568418453568e-12      -8.757891271409e-12      -6.568418453568e-12      -7.065647869188e-12       6.408441654500e-01       5.960302219536e-01 
       3.005325845302e-08      -9.170637971027e-12      -6.877978478271e-12      -6.877978478276e-12      -9.170637971018e-12      -6.877978478275e-12      -7.398641594302e-12       6.408441654500e-01       5.960302219536e-01 
       3.075328877018e-08      -9.602836823302e-12      -7.202127617477e-12      -7.202127617482e-12      -9.602836823292e-12      -7.202127617482e-12      -7.747328830190e-12       6.408441654500e-01       5.960302219536e-01 
       3.146962488811e-08      -1.005540457995e-11      -7.541553434965e-12      -7.541553434971e-12      -1.005540457994e-11      -7.541553434970e-12      -8.112449189229e-12       6.408441654499e-01       5.960302219535e-01 
       3.220264661771e-08      -1.052930119787e-11      -7.896975898402e-12      -7.896975898409e-12      -1.052930119786e-11      -7.896975898408e-12      -8.494777140653e-12       6.408441654499e-01       5.960302219535e-01 
       3.295274261680e-08      -1.102553187532e-11      -8.269148906487e-12      -8.269148906494e-12      -1.102553187530e-11      -8.269148906493e-12      -8.895123653309e-12       6.408441654499e-01       5.960302219535e-01 
       3.372031059620e-08      -1.154514918409e-11      -8.658861888066e-12      -8.658861888074e-12      -1.154514918407e-11      -8.658861888072e-12      -9.314337915822e-12       6.408441654499e-01       5.960302219535e-01 
       3.450575753062e-08      -1.208925530217e-11      -9.066941476624e-12      -9.066941476633e-12      -1.208925530215e-11      -9.066941476632e-12      -9.753309137851e-12       6.408441654499e-01       5.960302219536e-01 
       3.530949987442e-08      -1.265900435157e-11      -9.494253263679e-12      -9.494253263688e-12      -1.265900435155e-11      -9.494253263687e-12      -1.021296843621e-11       6.408441654498e-01       5.960302219535e-01 
       3.613196378243e-08      -1.325560484643e-11      -9.941703634823e-12      -9.941703634833e-12      -1.325560484641e-11      -9.941703634832e-12      -1.069429080990e-11       6.408441654498e-01       5.960302219535e-01 
       3.697358533591e-08      -1.388032225638e-11      -1.041024169228e-11      -1.041024169229e-11      -1.388032225636e-11      -1.041024169229e-11      -1.119829720820e-11       6.408441654497e-01       5.960302219535e-01 
       3.783481077373e-08      -1.453448169080e-11      -1.090086126810e-11      -1.090086126811e-11      -1.453448169077e-11      -1.090086126811e-11      -1.172605669626e-11       6.408441654497e-01       5.960302219534e-01 
       3.871609672902e-08      -1.521947070956e-11      -1.141460303217e-11      -1.141460303218e-11      -1.521947070953e-11      -1.141460303218e-11      -1.227868872272e-11       6.408441654497e-01       5.960302219534e-01 
       3.961791047127e-08      -1.593674226620e-11      -1.195255669965e-11      -1.195255669967e-11      -1.593674226617e-11      -1.195255669966e-11      -1.285736549419e-11       6.408441654496e-01       5.960302219534e-01 
       4.054073015406e-08      -1.668781778987e-11      -1.251586334240e-11      -1.251586334242e-11      -1.668781778983e-11      -1.251586334241e-11      -1.346331446169e-11       6.408441654496e-01       5.960302219534e-01 
