# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=30
# for k=1.04206e-08 to 1.49015 h/Mpc,
# number of wavenumbers equal to 786
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_m                    7:d_tot                  8:phi                    9:psi                
       1.042057218184e-08      -5.322594028494e-11      -3.991945521439e-11      -3.991945521439e-11      -5.322594028490e-11      -3.991945521439e-11      -4.003944675108e-11       6.044723471005e-01       5.991115873673e-01 
       1.066329848923e-08      -5.573440156916e-11      -4.180080117762e-11      -4.180080117762e-11      -5.573440156912e-11      -4.180080117762e-11      -4.192644774121e-11       6.044723471005e-01       5.991115873673e-01 
       1.091167861863e-08      -5.836108299155e-11      -4.377081224449e-11      -4.377081224449e-11      -5.836108299151e-11      -4.377081224449e-11      -4.390238034819e-11       6.044723471005e-01       5.991115873673e-01 
       1.116584426446e-08      -6.111155609557e-11      -4.583366707258e-11      -4.583366707258e-11      -6.111155609552e-11      -4.583366707258e-11      -4.597143578998e-11       6.044723471004e-01       5.991115873673e-01 
       1.142593018872e-08      -6.399165500342e-11      -4.799374125356e-11      -4.799374125356e-11      -6.399165500337e-11      -4.799374125356e-11      -4.813800281057e-11       6.044723471004e-01       5.991115873673e-01 
       1.169207429241e-08      -6.700748879104e-11      -5.025561659436e-11      -5.025561659437e-11      -6.700748879099e-11      -5.025561659437e-11      -5.040667698910e-11       6.044723471004e-01       5.991115873672e-01 
       1.196441768865e-08      -7.016545444622e-11      -5.262409083586e-11      -5.262409083586e-11      -7.016545444617e-11      -5.262409083586e-11      -5.278227048767e-11       6.044723471003e-01       5.991115873672e-01 
       1.224310477751e-08      -7.347225043752e-11      -5.510418782945e-11      -5.510418782945e-11      -7.347225043746e-11      -5.510418782945e-11      -5.526982225858e-11       6.044723471003e-01       5.991115873672e-01 
       1.252828332259e-08      -7.693489092259e-11      -5.770116819337e-11      -5.770116819337e-11      -7.693489092252e-11      -5.770116819337e-11      -5.787460873265e-11       6.044723471003e-01       5.991115873672e-01 
       1.282010452931e-08      -8.056072062613e-11      -6.042054047117e-11      -6.042054047117e-11      -8.056072062605e-11      -6.042054047117e-11      -6.060215501123e-11       6.044723471002e-01       5.991115873671e-01 
       1.311872312515e-08      -8.435743041906e-11      -6.326807281602e-11      -6.326807281602e-11      -8.435743041898e-11      -6.326807281602e-11      -6.345824658566e-11       6.044723471002e-01       5.991115873671e-01 
       1.342429744164e-08      -8.833307363190e-11      -6.624980522582e-11      -6.624980522582e-11      -8.833307363181e-11      -6.624980522582e-11      -6.644894160910e-11       6.044723471002e-01       5.991115873671e-01 
