# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=300
# for k=1.04206e-08 to 1.49015 h/Mpc,
# number of wavenumbers equal to 786
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_m                    7:d_tot                  8:phi                    9:psi                
       1.042057218184e-08      -4.788140640243e-12      -3.591105480185e-12      -3.591105480185e-12      -4.788140640241e-12      -3.591105480185e-12      -3.688282358706e-12       6.257958296964e-01       5.905011585908e-01 
       1.066329848923e-08      -5.013798756480e-12      -3.760349067363e-12      -3.760349067364e-12      -5.013798756479e-12      -3.760349067364e-12      -3.862105751073e-12       6.257958296964e-01       5.905011585908e-01 
       1.091167861863e-08      -5.250091812092e-12      -3.937568859073e-12      -3.937568859073e-12      -5.250091812091e-12      -3.937568859073e-12      -4.044121187540e-12       6.257958296964e-01       5.905011585908e-01 
       1.116584426446e-08      -5.497521016330e-12      -4.123140762251e-12      -4.123140762252e-12      -5.497521016328e-12      -4.123140762251e-12      -4.234714747251e-12       6.257958296964e-01       5.905011585908e-01 
       1.142593018872e-08      -5.756611199709e-12      -4.317458399786e-12      -4.317458399786e-12      -5.756611199706e-12      -4.317458399786e-12      -4.434290704699e-12       6.257958296963e-01       5.905011585908e-01 
       1.169207429241e-08      -6.027911927244e-12      -4.520933945438e-12      -4.520933945438e-12      -6.027911927242e-12      -4.520933945438e-12      -4.643272387247e-12       6.257958296963e-01       5.905011585908e-01 
       1.196441768865e-08      -6.311998664154e-12      -4.733998998120e-12      -4.733998998120e-12      -6.311998664151e-12      -4.733998998120e-12      -4.862103073062e-12       6.257958296963e-01       5.905011585908e-01 
       1.224310477751e-08      -6.609473996494e-12      -4.957105497376e-12      -4.957105497376e-12      -6.609473996491e-12      -4.957105497376e-12      -5.091246931369e-12       6.257958296963e-01       5.905011585908e-01 
       1.252828332259e-08      -6.920968909328e-12      -5.190726682002e-12      -5.190726682003e-12      -6.920968909325e-12      -5.190726682003e-12      -5.331190007013e-12       6.257958296963e-01       5.905011585908e-01 
       1.282010452931e-08      -7.247144125130e-12      -5.435358093854e-12      -5.435358093854e-12      -7.247144125126e-12      -5.435358093854e-12      -5.582441251427e-12       6.257958296963e-01       5.905011585908e-01 
       1.311872312515e-08      -7.588691505262e-12      -5.691518628954e-12      -5.691518628955e-12      -7.588691505258e-12      -5.691518628954e-12      -5.845533602186e-12       6.257958296963e-01       5.905011585908e-01 
       1.342429744164e-08      -7.946335517511e-12      -5.959751638141e-12      -5.959751638142e-12      -7.946335517507e-12      -5.959751638142e-12      -6.121025113440e-12       6.257958296963e-01       5.905011585908e-01 
       1.373698949832e-08      -8.320834772776e-12      -6.240626079590e-12      -6.240626079591e-12      -8.320834772771e-12      -6.240626079591e-12      -6.409500139620e-12       6.257958296963e-01       5.905011585908e-01 
       1.405696508867e-08      -8.712983634188e-12      -6.534737725650e-12      -6.534737725651e-12      -8.712983634182e-12      -6.534737725651e-12      -6.711570574932e-12       6.257958296962e-01       5.905011585908e-01 
       1.438439386797e-08      -9.123613902058e-12      -6.842710426553e-12      -6.842710426554e-12      -9.123613902052e-12      -6.842710426554e-12      -7.027877151269e-12       6.257958296962e-01       5.905011585907e-01 
       1.471944944330e-08      -9.553596578238e-12      -7.165197433689e-12      -7.165197433690e-12      -9.553596578231e-12      -7.165197433690e-12      -7.359090797289e-12       6.257958296962e-01       5.905011585907e-01 
       1.506230946556e-08      -1.000384371363e-11      -7.502882785237e-12      -7.502882785238e-12      -1.000384371363e-11      -7.502882785238e-12      -7.705914061539e-12       6.257958296962e-01       5.905011585907e-01 
       1.541315572367e-08      -1.047531034278e-11      -7.856482757101e-12      -7.856482757102e-12      -1.047531034278e-11      -7.856482757102e-12      -8.069082602665e-12       6.257958296962e-01       5.905011585907e-01 
       1.577217424096e-08      -1.096899650962e-11      -8.226747382230e-12      -8.226747382232e-12      -1.096899650961e-11      -8.226747382231e-12      -8.449366749831e-12       6.257958296962e-01       5.905011585907e-01 
       1.613955537381e-08      -1.148594938869e-11      -8.614462041536e-12      -8.614462041538e-12      -1.148594938868e-11      -8.614462041537e-12      -8.847573136700e-12       6.257958296961e-01       5.905011585907e-01 
       1.651549391254e-08      -1.202726550637e-11      -9.020449129793e-12      -9.020449129795e-12      -1.202726550636e-11      -9.020449129794e-12      -9.264546412406e-12       6.257958296961e-01       5.905011585907e-01 
       1.690018918476e-08      -1.259409306670e-11      -9.445569800047e-12      -9.445569800049e-12      -1.259409306669e-11      -9.445569800049e-12      -9.701171033173e-12       6.257958296961e-01       5.905011585907e-01 
       1.729384516098e-08      -1.318763438695e-11      -9.890725790236e-12      -9.890725790238e-12      -1.318763438694e-11      -9.890725790238e-12      -1.015837313836e-11       6.257958296961e-01       5.905011585907e-01 
       1.769667056282e-08      -1.380914844784e-11      -1.035686133590e-11      -1.035686133590e-11      -1.380914844782e-11      -1.035686133590e-11      -1.063712251493e-11       6.257958296961e-01       5.905011585906e-01 
       1.810887897364e-08      -1.445995356400e-11      -1.084496517302e-11      -1.084496517303e-11      -1.445995356398e-11      -1.084496517303e-11      -1.113843465450e-11       6.257958296960e-01       5.905011585906e-01 
       1.853068895179e-08      -1.514143018035e-11      -1.135607263529e-11      -1.135607263529e-11      -1.514143018034e-11      -1.135607263529e-11      -1.166337290732e-11       6.257958296960e-01       5.905011585906e-01 
       1.896232414650e-08      -1.585502380016e-11      -1.189126785015e-11      -1.189126785016e-11      -1.585502380015e-11      -1.189126785016e-11      -1.221305073782e-11       6.257958296960e-01       5.905011585906e-01 
       1.940401341647e-08      -1.660224805118e-11      -1.245168603841e-11      -1.245168603842e-11      -1.660224805116e-11      -1.245168603842e-11      -1.278863408637e-11       6.257958296960e-01       5.905011585906e-01 
       1.985599095119e-08      -1.738468789621e-11      -1.303851592219e-11      -1.303851592219e-11      -1.738468789618e-11      -1.303851592219e-11      -1.339134384241e-11       6.257958296959e-01       5.905011585906e-01 
       2.031849639514e-08      -1.820400299507e-11      -1.365300224634e-11      -1.365300224635e-11      -1.820400299505e-11      -1.365300224634e-11      -1.402245843415e-11       6.257958296959e-01       5.905011585906e-01 
       2.079177497483e-08      -1.906193122494e-11      -1.429644841875e-11      -1.429644841875e-11      -1.906193122491e-11      -1.429644841875e-11      -1.468331654026e-11       6.257958296959e-01       5.905011585905e-01 
       2.127607762882e-08      -1.996029236661e-11      -1.497021927501e-11      -1.497021927501e-11      -1.996029236658e-11      -1.497021927501e-11      -1.537531992937e-11       6.257958296958e-01       5.905011585905e-01 
       2.177166114080e-08      -2.090099196452e-11      -1.567574397344e-11      -1.567574397345e-11      -2.090099196449e-11      -1.567574397344e-11      -1.609993643346e-11       6.257958296958e-01       5.905011585905e-01 
       2.227878827569e-08      -2.188602536862e-11      -1.641451902653e-11      -1.641451902653e-11      -2.188602536859e-11      -1.641451902653e-11      -1.685870306128e-11       6.257958296958e-01       5.905011585905e-01 
       2.279772791902e-08      -2.291748196685e-11      -1.718811147520e-11      -1.718811147521e-11      -2.291748196681e-11      -1.718811147520e-11      -1.765322925858e-11       6.257958296957e-01       5.905011585904e-01 
       2.332875521946e-08      -2.399754961692e-11      -1.799816221276e-11      -1.799816221277e-11      -2.399754961688e-11      -1.799816221277e-11      -1.848520032194e-11       6.257958296957e-01       5.905011585904e-01 
       2.387215173470e-08      -2.512851928714e-11      -1.884638946543e-11      -1.884638946544e-11      -2.512851928710e-11      -1.884638946544e-11      -1.935638097355e-11       6.257958296957e-01       5.905011585904e-01 
       2.442820558078e-08      -2.631278991581e-11      -1.973459243694e-11      -1.973459243695e-11      -2.631278991576e-11      -1.973459243695e-11      -2.026861910435e-11       6.257958296956e-01       5.905011585904e-01 
