# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=1100
# for k=1.04206e-08 to 1.49015 h/Mpc,
# number of wavenumbers equal to 786
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_m                    7:d_tot                  8:phi                    9:psi                
       1.042057218184e-08      -9.707452258191e-13      -7.280589193644e-13      -7.280589193644e-13      -9.707452258191e-13      -7.280589193644e-13      -7.873341063530e-13       6.425310863079e-01       5.986496661482e-01 
       1.066329848923e-08      -1.016495038839e-12      -7.623712791294e-13      -7.623712791295e-13      -1.016495038839e-12      -7.623712791295e-13      -8.244400196163e-13       6.425310863078e-01       5.986496661481e-01 
       1.091167861863e-08      -1.064400974121e-12      -7.983007305906e-13      -7.983007305906e-13      -1.064400974121e-12      -7.983007305906e-13      -8.632946806960e-13       6.425310863079e-01       5.986496661481e-01 
       1.116584426446e-08      -1.114564646575e-12      -8.359234849312e-13      -8.359234849313e-13      -1.114564646575e-12      -8.359234849312e-13      -9.039805055371e-13       6.425310863078e-01       5.986496661480e-01 
       1.142593018872e-08      -1.167092460077e-12      -8.753193450576e-13      -8.753193450577e-13      -1.167092460077e-12      -8.753193450577e-13      -9.465837942294e-13       6.425310863078e-01       5.986496661480e-01 
       1.169207429241e-08      -1.222095833161e-12      -9.165718748711e-13      -9.165718748712e-13      -1.222095833161e-12      -9.165718748711e-13      -9.911949140600e-13       6.425310863078e-01       5.986496661481e-01 
       1.196441768865e-08      -1.279691435358e-12      -9.597685765182e-13      -9.597685765183e-13      -1.279691435357e-12      -9.597685765183e-13      -1.037908491195e-12       6.425310863080e-01       5.986496661483e-01 
       1.224310477751e-08      -1.340001434659e-12      -1.005001075994e-12      -1.005001075994e-12      -1.340001434659e-12      -1.005001075994e-12      -1.086823611395e-12       6.425310863079e-01       5.986496661482e-01 
       1.252828332259e-08      -1.403153756661e-12      -1.052365317496e-12      -1.052365317496e-12      -1.403153756661e-12      -1.052365317496e-12      -1.138044030187e-12       6.425310863079e-01       5.986496661481e-01 
       1.282010452931e-08      -1.469282355904e-12      -1.101961766928e-12      -1.101961766928e-12      -1.469282355904e-12      -1.101961766928e-12      -1.191678392948e-12       6.425310863078e-01       5.986496661481e-01 
       1.311872312515e-08      -1.538527500015e-12      -1.153895625011e-12      -1.153895625011e-12      -1.538527500015e-12      -1.153895625011e-12      -1.247840465351e-12       6.425310863079e-01       5.986496661482e-01 
       1.342429744164e-08      -1.611036067227e-12      -1.208277050420e-12      -1.208277050420e-12      -1.611036067227e-12      -1.208277050420e-12      -1.306649374682e-12       6.425310863078e-01       5.986496661481e-01 
       1.373698949832e-08      -1.686961857933e-12      -1.265221393450e-12      -1.265221393450e-12      -1.686961857932e-12      -1.265221393450e-12      -1.368229862523e-12       6.425310863079e-01       5.986496661482e-01 
       1.405696508867e-08      -1.766465920914e-12      -1.324849440686e-12      -1.324849440686e-12      -1.766465920914e-12      -1.324849440686e-12      -1.432712549343e-12       6.425310863079e-01       5.986496661481e-01 
       1.438439386797e-08      -1.849716894948e-12      -1.387287671211e-12      -1.387287671212e-12      -1.849716894948e-12      -1.387287671211e-12      -1.500234211568e-12       6.425310863078e-01       5.986496661480e-01 
