# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=2000
# for k=1.04206e-08 to 1.49015 h/Mpc,
# number of wavenumbers equal to 786
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_m                    7:d_tot                  8:phi                    9:psi                
       1.042057218184e-08      -4.168929086874e-13      -3.126696815155e-13      -3.126696815155e-13      -4.168929086874e-13      -3.126696815155e-13      -3.512348568596e-13       6.544790869864e-01       6.001767669941e-01 
       1.066329848923e-08      -4.365404661665e-13      -3.274053496249e-13      -3.274053496249e-13      -4.365404661665e-13      -3.274053496249e-13      -3.677880456882e-13       6.544790869863e-01       6.001767669939e-01 
       1.091167861863e-08      -4.571139845024e-13      -3.428354883768e-13      -3.428354883768e-13      -4.571139845024e-13      -3.428354883768e-13      -3.851213622720e-13       6.544790869864e-01       6.001767669940e-01 
       1.116584426446e-08      -4.786571028856e-13      -3.589928271642e-13      -3.589928271642e-13      -4.786571028856e-13      -3.589928271642e-13      -4.032715728992e-13       6.544790869860e-01       6.001767669936e-01 
       1.142593018872e-08      -5.012155171589e-13      -3.759116378692e-13      -3.759116378692e-13      -5.012155171589e-13      -3.759116378692e-13      -4.222771766001e-13       6.544790869861e-01       6.001767669936e-01 
       1.169207429241e-08      -5.248370767433e-13      -3.936278075575e-13      -3.936278075575e-13      -5.248370767433e-13      -3.936278075575e-13      -4.421784868084e-13       6.544790869864e-01       6.001767669940e-01 
       1.196441768865e-08      -5.495718861337e-13      -4.121789146003e-13      -4.121789146003e-13      -5.495718861337e-13      -4.121789146003e-13      -4.630177168712e-13       6.544790869869e-01       6.001767669947e-01 
       1.224310477751e-08      -5.754724111766e-13      -4.316043083825e-13      -4.316043083825e-13      -5.754724111766e-13      -4.316043083825e-13      -4.848390695891e-13       6.544790869866e-01       6.001767669943e-01 
       1.252828332259e-08      -6.025935903585e-13      -4.519451927689e-13      -4.519451927689e-13      -6.025935903585e-13      -4.519451927689e-13      -5.076888309770e-13       6.544790869861e-01       6.001767669936e-01 
       1.282010452931e-08      -6.309929513371e-13      -4.732447135028e-13      -4.732447135028e-13      -6.309929513371e-13      -4.732447135028e-13      -5.316154684427e-13       6.544790869865e-01       6.001767669942e-01 
       1.311872312515e-08      -6.607307329640e-13      -4.955480497230e-13      -4.955480497230e-13      -6.607307329640e-13      -4.955480497230e-13      -5.566697335919e-13       6.544790869866e-01       6.001767669943e-01 
       1.342429744164e-08      -6.918700130611e-13      -5.189025097958e-13      -5.189025097959e-13      -6.918700130611e-13      -5.189025097958e-13      -5.829047698798e-13       6.544790869864e-01       6.001767669940e-01 
       1.373698949832e-08      -7.244768422168e-13      -5.433576316626e-13      -5.433576316626e-13      -7.244768422167e-13      -5.433576316626e-13      -6.103762253363e-13       6.544790869867e-01       6.001767669943e-01 
       1.405696508867e-08      -7.586203838869e-13      -5.689652879152e-13      -5.689652879152e-13      -7.586203838868e-13      -5.689652879152e-13      -6.391423706012e-13       6.544790869866e-01       6.001767669942e-01 
       1.438439386797e-08      -7.943730611011e-13      -5.957797958258e-13      -5.957797958258e-13      -7.943730611010e-13      -5.957797958258e-13      -6.692642225253e-13       6.544790869862e-01       6.001767669937e-01 
       1.471944944330e-08      -8.318107100818e-13      -6.238580325613e-13      -6.238580325614e-13      -8.318107100817e-13      -6.238580325613e-13      -7.008056735955e-13       6.544790869866e-01       6.001767669942e-01 
       1.506230946556e-08      -8.710127411009e-13      -6.532595558257e-13      -6.532595558257e-13      -8.710127411008e-13      -6.532595558257e-13      -7.338336274577e-13       6.544790869863e-01       6.001767669939e-01 
       1.541315572367e-08      -9.120623069229e-13      -6.840467301922e-13      -6.840467301922e-13      -9.120623069229e-13      -6.840467301922e-13      -7.684181408308e-13       6.544790869864e-01       6.001767669941e-01 
       1.577217424096e-08      -9.550464791802e-13      -7.162848593851e-13      -7.162848593852e-13      -9.550464791801e-13      -7.162848593852e-13      -8.046325721041e-13       6.544790869865e-01       6.001767669941e-01 
       1.613955537381e-08      -1.000056433065e-12      -7.500423247990e-13      -7.500423247990e-13      -1.000056433065e-12      -7.500423247990e-13      -8.425537369421e-13       6.544790869868e-01       6.001767669945e-01 
       1.651549391254e-08      -1.047187640724e-12      -7.853907305431e-13      -7.853907305432e-13      -1.047187640724e-12      -7.853907305432e-13      -8.822620712186e-13       6.544790869862e-01       6.001767669938e-01 
       1.690018918476e-08      -1.096540073769e-12      -8.224050553265e-13      -8.224050553266e-13      -1.096540073769e-12      -8.224050553266e-13      -9.238418016359e-13       6.544790869867e-01       6.001767669944e-01 
       1.729384516098e-08      -1.148218415324e-12      -8.611638114933e-13      -8.611638114934e-13      -1.148218415324e-12      -8.611638114934e-13      -9.673811243751e-13       6.544790869858e-01       6.001767669934e-01 
       1.769667056282e-08      -1.202332282084e-12      -9.017492115633e-13      -9.017492115634e-13      -1.202332282084e-12      -9.017492115634e-13      -1.012972392179e-12       6.544790869864e-01       6.001767669941e-01 
       1.810887897364e-08      -1.258996456814e-12      -9.442473426104e-13      -9.442473426105e-13      -1.258996456814e-12      -9.442473426105e-13      -1.060712310238e-12       6.544790869865e-01       6.001767669942e-01 
       1.853068895179e-08      -1.318331131824e-12      -9.887483488683e-13      -9.887483488684e-13      -1.318331131824e-12      -9.887483488684e-13      -1.110702141319e-12       6.544790869862e-01       6.001767669938e-01 
       1.896232414650e-08      -1.380462163918e-12      -1.035346622938e-12      -1.035346622939e-12      -1.380462163918e-12      -1.035346622939e-12      -1.163047920557e-12       6.544790869865e-01       6.001767669942e-01 
       1.940401341647e-08      -1.445521341342e-12      -1.084141006007e-12      -1.084141006007e-12      -1.445521341342e-12      -1.084141006007e-12      -1.217860680366e-12       6.544790869864e-01       6.001767669941e-01 
       1.985599095119e-08      -1.513646663337e-12      -1.135234997503e-12      -1.135234997503e-12      -1.513646663337e-12      -1.135234997503e-12      -1.275256685960e-12       6.544790869867e-01       6.001767669944e-01 
       2.031849639514e-08      -1.584982632842e-12      -1.188736974631e-12      -1.188736974632e-12      -1.584982632842e-12      -1.188736974631e-12      -1.335357681962e-12       6.544790869866e-01       6.001767669943e-01 
       2.079177497483e-08      -1.659680563013e-12      -1.244760422260e-12      -1.244760422260e-12      -1.659680563013e-12      -1.244760422260e-12      -1.398291150641e-12       6.544790869862e-01       6.001767669938e-01 
       2.127607762882e-08      -1.737898898177e-12      -1.303424173632e-12      -1.303424173633e-12      -1.737898898176e-12      -1.303424173633e-12      -1.464190582323e-12       6.544790869865e-01       6.001767669942e-01 
       2.177166114080e-08      -1.819803549907e-12      -1.364852662430e-12      -1.364852662430e-12      -1.819803549906e-12      -1.364852662430e-12      -1.533195758538e-12       6.544790869864e-01       6.001767669941e-01 
       2.227878827569e-08      -1.905568248951e-12      -1.429176186714e-12      -1.429176186714e-12      -1.905568248951e-12      -1.429176186714e-12      -1.605453048515e-12       6.544790869862e-01       6.001767669938e-01 
       2.279772791902e-08      -1.995374913737e-12      -1.496531185303e-12      -1.496531185303e-12      -1.995374913737e-12      -1.496531185303e-12      -1.681115719656e-12       6.544790869865e-01       6.001767669942e-01 
       2.332875521946e-08      -2.089414036238e-12      -1.567060527179e-12      -1.567060527179e-12      -2.089414036238e-12      -1.567060527179e-12      -1.760344262629e-12       6.544790869863e-01       6.001767669939e-01 
       2.387215173470e-08      -2.187885086043e-12      -1.640913814532e-12      -1.640913814532e-12      -2.187885086042e-12      -1.640913814532e-12      -1.843306731796e-12       6.544790869861e-01       6.001767669937e-01 
