# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=50
# for k=1.04206e-08 to 1.49015 h/Mpc,
# number of wavenumbers equal to 786
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_m                    7:d_tot                  8:phi                    9:psi                
       1.042057218184e-08      -3.199489859173e-11      -2.399617394403e-11      -2.399617394403e-11      -3.199489859171e-11      -2.399617394403e-11      -2.411415090480e-11       6.069661660564e-01       5.984823610598e-01 
       1.066329848923e-08      -3.350277170738e-11      -2.512707878079e-11      -2.512707878079e-11      -3.350277170736e-11      -2.512707878079e-11      -2.525061582442e-11       6.069661660564e-01       5.984823610597e-01 
       1.091167861863e-08      -3.508170869361e-11      -2.631128152049e-11      -2.631128152049e-11      -3.508170869359e-11      -2.631128152049e-11      -2.644064068562e-11       6.069661660564e-01       5.984823610598e-01 
       1.116584426446e-08      -3.673505868747e-11      -2.755129401591e-11      -2.755129401591e-11      -3.673505868744e-11      -2.755129401591e-11      -2.768674969066e-11       6.069661660564e-01       5.984823610597e-01 
       1.142593018872e-08      -3.846632866595e-11      -2.884974649980e-11      -2.884974649980e-11      -3.846632866593e-11      -2.884974649980e-11      -2.899158600383e-11       6.069661660563e-01       5.984823610597e-01 
       1.169207429241e-08      -4.027919088480e-11      -3.020939316397e-11      -3.020939316397e-11      -4.027919088477e-11      -3.020939316397e-11      -3.035791735788e-11       6.069661660563e-01       5.984823610597e-01 
       1.196441768865e-08      -4.217749066784e-11      -3.163311800129e-11      -3.163311800129e-11      -4.217749066781e-11      -3.163311800129e-11      -3.178864192481e-11       6.069661660563e-01       5.984823610597e-01 
       1.224310477751e-08      -4.416525456342e-11      -3.312394092301e-11      -3.312394092301e-11      -4.416525456339e-11      -3.312394092301e-11      -3.328679446324e-11       6.069661660563e-01       5.984823610597e-01 
       1.252828332259e-08      -4.624669888527e-11      -3.468502416443e-11      -3.468502416443e-11      -4.624669888523e-11      -3.468502416443e-11      -3.485555275556e-11       6.069661660562e-01       5.984823610596e-01 
       1.282010452931e-08      -4.842623865584e-11      -3.631967899241e-11      -3.631967899241e-11      -4.842623865580e-11      -3.631967899241e-11      -3.649824434844e-11       6.069661660562e-01       5.984823610596e-01 
       1.311872312515e-08      -5.070849697122e-11      -3.803137272900e-11      -3.803137272900e-11      -5.070849697118e-11      -3.803137272900e-11      -3.821835361098e-11       6.069661660562e-01       5.984823610596e-01 
       1.342429744164e-08      -5.309831480728e-11      -3.982373610610e-11      -3.982373610610e-11      -5.309831480723e-11      -3.982373610610e-11      -4.001952912556e-11       6.069661660562e-01       5.984823610596e-01 
       1.373698949832e-08      -5.560076128806e-11      -4.170057096674e-11      -4.170057096674e-11      -5.560076128800e-11      -4.170057096674e-11      -4.190559142693e-11       6.069661660561e-01       5.984823610596e-01 
       1.405696508867e-08      -5.822114443804e-11      -4.366585832929e-11      -4.366585832930e-11      -5.822114443797e-11      -4.366585832929e-11      -4.388054110609e-11       6.069661660561e-01       5.984823610595e-01 
       1.438439386797e-08      -6.096502244120e-11      -4.572376683174e-11      -4.572376683175e-11      -6.096502244114e-11      -4.572376683175e-11      -4.594856729610e-11       6.069661660560e-01       5.984823610595e-01 
       1.471944944330e-08      -6.383821543070e-11      -4.787866157395e-11      -4.787866157395e-11      -6.383821543062e-11      -4.787866157395e-11      -4.811405655779e-11       6.069661660560e-01       5.984823610595e-01 
       1.506230946556e-08      -6.684681783405e-11      -5.013511337655e-11      -5.013511337655e-11      -6.684681783396e-11      -5.013511337655e-11      -5.038160218420e-11       6.069661660560e-01       5.984823610595e-01 
       1.541315572367e-08      -6.999721130031e-11      -5.249790847634e-11      -5.249790847635e-11      -6.999721130023e-11      -5.249790847635e-11      -5.275601394361e-11       6.069661660559e-01       5.984823610594e-01 
       1.577217424096e-08      -7.329607823643e-11      -5.497205867854e-11      -5.497205867854e-11      -7.329607823634e-11      -5.497205867854e-11      -5.524232828172e-11       6.069661660559e-01       5.984823610594e-01 
       1.613955537381e-08      -7.675041598146e-11      -5.756281198743e-11      -5.756281198743e-11      -7.675041598135e-11      -5.756281198743e-11      -5.784581900459e-11       6.069661660558e-01       5.984823610594e-01 
       1.651549391254e-08      -8.036755164887e-11      -6.027566373812e-11      -6.027566373812e-11      -8.036755164875e-11      -6.027566373812e-11      -6.057200846508e-11       6.069661660557e-01       5.984823610593e-01 
