# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=1200
# for k=1.04206e-08 to 1.49015 h/Mpc,
# number of wavenumbers equal to 786
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_m                    7:d_tot                  8:phi                    9:psi                
       1.042057218184e-08      -8.627569629720e-13      -6.470677222291e-13      -6.470677222291e-13      -8.627569629720e-13      -6.470677222291e-13      -7.032866809560e-13       6.442279899922e-01       6.001798612059e-01 
       1.066329848923e-08      -9.034174459576e-13      -6.775630844682e-13      -6.775630844682e-13      -9.034174459575e-13      -6.775630844682e-13      -7.364315610929e-13       6.442279899921e-01       6.001798612058e-01 
       1.091167861863e-08      -9.459941984695e-13      -7.094956488521e-13      -7.094956488522e-13      -9.459941984694e-13      -7.094956488522e-13      -7.711385113061e-13       6.442279899922e-01       6.001798612059e-01 
       1.116584426446e-08      -9.905775315078e-13      -7.429331486309e-13      -7.429331486309e-13      -9.905775315078e-13      -7.429331486309e-13      -8.074811496900e-13       6.442279899920e-01       6.001798612057e-01 
       1.142593018872e-08      -1.037262012300e-12      -7.779465092247e-13      -7.779465092248e-13      -1.037262012299e-12      -7.779465092248e-13      -8.455365638533e-13       6.442279899920e-01       6.001798612057e-01 
       1.169207429241e-08      -1.086146664888e-12      -8.146099986658e-13      -8.146099986658e-13      -1.086146664888e-12      -8.146099986658e-13      -8.853854744317e-13       6.442279899921e-01       6.001798612058e-01 
       1.196441768865e-08      -1.137335180174e-12      -8.530013851308e-13      -8.530013851309e-13      -1.137335180174e-12      -8.530013851309e-13      -9.271124063072e-13       6.442279899923e-01       6.001798612061e-01 
       1.224310477751e-08      -1.190936135863e-12      -8.932021018973e-13      -8.932021018974e-13      -1.190936135863e-12      -8.932021018974e-13      -9.708058678964e-13       6.442279899922e-01       6.001798612059e-01 
       1.252828332259e-08      -1.247063226768e-12      -9.352974200758e-13      -9.352974200759e-13      -1.247063226768e-12      -9.352974200759e-13      -1.016558538890e-12       6.442279899922e-01       6.001798612058e-01 
       1.282010452931e-08      -1.305835505973e-12      -9.793766294795e-13      -9.793766294797e-13      -1.305835505973e-12      -9.793766294796e-13      -1.064467466836e-12       6.442279899921e-01       6.001798612058e-01 
       1.311872312515e-08      -1.367377637363e-12      -1.025533228022e-12      -1.025533228022e-12      -1.367377637363e-12      -1.025533228022e-12      -1.114634272996e-12       6.442279899922e-01       6.001798612059e-01 
       1.342429744164e-08      -1.431820160049e-12      -1.073865120037e-12      -1.073865120037e-12      -1.431820160049e-12      -1.073865120037e-12      -1.167165367890e-12       6.442279899921e-01       6.001798612059e-01 
       1.373698949832e-08      -1.499299765262e-12      -1.124474823946e-12      -1.124474823947e-12      -1.499299765262e-12      -1.124474823947e-12      -1.222172177014e-12       6.442279899921e-01       6.001798612059e-01 
       1.405696508867e-08      -1.569959586292e-12      -1.177469689719e-12      -1.177469689719e-12      -1.569959586292e-12      -1.177469689719e-12      -1.279771377184e-12       6.442279899921e-01       6.001798612059e-01 
       1.438439386797e-08      -1.643949502092e-12      -1.232962126569e-12      -1.232962126569e-12      -1.643949502092e-12      -1.232962126569e-12      -1.340085144028e-12       6.442279899920e-01       6.001798612058e-01 
       1.471944944330e-08      -1.721426455195e-12      -1.291069841396e-12      -1.291069841396e-12      -1.721426455195e-12      -1.291069841396e-12      -1.403241411131e-12       6.442279899922e-01       6.001798612059e-01 
       1.506230946556e-08      -1.802554784605e-12      -1.351916088453e-12      -1.351916088454e-12      -1.802554784604e-12      -1.351916088454e-12      -1.469374141402e-12       6.442279899921e-01       6.001798612058e-01 
       1.541315572367e-08      -1.887506574385e-12      -1.415629930789e-12      -1.415629930789e-12      -1.887506574385e-12      -1.415629930789e-12      -1.538623611230e-12       6.442279899921e-01       6.001798612058e-01 
       1.577217424096e-08      -1.976462018672e-12      -1.482346514004e-12      -1.482346514005e-12      -1.976462018672e-12      -1.482346514005e-12      -1.611136708024e-12       6.442279899921e-01       6.001798612059e-01 
       1.613955537381e-08      -2.069609803890e-12      -1.552207352918e-12      -1.552207352918e-12      -2.069609803890e-12      -1.552207352918e-12      -1.687067241785e-12       6.442279899921e-01       6.001798612059e-01 
       1.651549391254e-08      -2.167147508980e-12      -1.625360631735e-12      -1.625360631735e-12      -2.167147508979e-12      -1.625360631735e-12      -1.766576271355e-12       6.442279899921e-01       6.001798612058e-01 
       1.690018918476e-08      -2.269282024490e-12      -1.701961518367e-12      -1.701961518368e-12      -2.269282024489e-12      -1.701961518368e-12      -1.849832446045e-12       6.442279899922e-01       6.001798612059e-01 
       1.729384516098e-08      -2.376229991422e-12      -1.782172493566e-12      -1.782172493567e-12      -2.376229991421e-12      -1.782172493567e-12      -1.937012363364e-12       6.442279899920e-01       6.001798612057e-01 
       1.769667056282e-08      -2.488218260752e-12      -1.866163695564e-12      -1.866163695565e-12      -2.488218260752e-12      -1.866163695565e-12      -2.028300943606e-12       6.442279899921e-01       6.001798612058e-01 
       1.810887897364e-08      -2.605484374616e-12      -1.954113280962e-12      -1.954113280962e-12      -2.605484374615e-12      -1.954113280962e-12      -2.123891822088e-12       6.442279899921e-01       6.001798612058e-01 
       1.853068895179e-08      -2.728277070160e-12      -2.046207802620e-12      -2.046207802621e-12      -2.728277070160e-12      -2.046207802621e-12      -2.223987759881e-12       6.442279899920e-01       6.001798612058e-01 
       1.896232414650e-08      -2.856856807158e-12      -2.142642605368e-12      -2.142642605369e-12      -2.856856807157e-12      -2.142642605369e-12      -2.328801073887e-12       6.442279899921e-01       6.001798612059e-01 
       1.940401341647e-08      -2.991496320468e-12      -2.243622240351e-12      -2.243622240352e-12      -2.991496320467e-12      -2.243622240352e-12      -2.438554087198e-12       6.442279899920e-01       6.001798612058e-01 
       1.985599095119e-08      -3.132481198552e-12      -2.349360898914e-12      -2.349360898914e-12      -3.132481198551e-12      -2.349360898914e-12      -2.553479600672e-12       6.442279899921e-01       6.001798612059e-01 
       2.031849639514e-08      -3.280110489236e-12      -2.460082866927e-12      -2.460082866928e-12      -3.280110489235e-12      -2.460082866928e-12      -2.673821386729e-12       6.442279899921e-01       6.001798612059e-01 
       2.079177497483e-08      -3.434697334040e-12      -2.576023000530e-12      -2.576023000531e-12      -3.434697334039e-12      -2.576023000530e-12      -2.799834706433e-12       6.442279899920e-01       6.001798612057e-01 
       2.127607762882e-08      -3.596569632388e-12      -2.697427224291e-12      -2.697427224292e-12      -3.596569632387e-12      -2.697427224292e-12      -2.931786850930e-12       6.442279899921e-01       6.001798612059e-01 
       2.177166114080e-08      -3.766070737126e-12      -2.824553052844e-12      -2.824553052845e-12      -3.766070737124e-12      -2.824553052845e-12      -3.069957708408e-12       6.442279899919e-01       6.001798612057e-01 
       2.227878827569e-08      -3.943560182824e-12      -2.957670137118e-12      -2.957670137119e-12      -3.943560182822e-12      -2.957670137119e-12      -3.214640357784e-12       6.442279899920e-01       6.001798612058e-01 
       2.279772791902e-08      -4.129414448392e-12      -3.097060836294e-12      -3.097060836295e-12      -4.129414448390e-12      -3.097060836295e-12      -3.366141690352e-12       6.442279899920e-01       6.001798612058e-01 
       2.332875521946e-08      -4.324027755644e-12      -3.243020816733e-12      -3.243020816734e-12      -4.324027755642e-12      -3.243020816734e-12      -3.524783060751e-12       6.442279899919e-01       6.001798612057e-01 
       2.387215173470e-08      -4.527812905500e-12      -3.395859679125e-12      -3.395859679126e-12      -4.527812905497e-12      -3.395859679126e-12      -3.690900968599e-12       6.442279899919e-01       6.001798612057e-01 
       2.442820558078e-08      -4.741202153582e-12      -3.555901615186e-12      -3.555901615188e-12      -4.741202153580e-12      -3.555901615188e-12      -3.864847772249e-12       6.442279899920e-01       6.001798612057e-01 
       2.499721158481e-08      -4.964648127097e-12      -3.723486095322e-12      -3.723486095324e-12      -4.964648127094e-12      -3.723486095324e-12      -4.046992436193e-12       6.442279899921e-01       6.001798612059e-01 
       2.557947144129e-08      -5.198624784909e-12      -3.898968588682e-12      -3.898968588684e-12      -5.198624784906e-12      -3.898968588683e-12      -4.237721313683e-12       6.442279899919e-01       6.001798612056e-01 
       2.617529387212e-08      -5.443628422883e-12      -4.082721317163e-12      -4.082721317165e-12      -5.443628422881e-12      -4.082721317164e-12      -4.437438966241e-12       6.442279899919e-01       6.001798612057e-01 
       2.678499479023e-08      -5.700178726582e-12      -4.275134044937e-12      -4.275134044939e-12      -5.700178726580e-12      -4.275134044939e-12      -4.646569021784e-12       6.442279899919e-01       6.001798612058e-01 
       2.740889746712e-08      -5.968819873597e-12      -4.476614905197e-12      -4.476614905199e-12      -5.968819873592e-12      -4.476614905199e-12      -4.865555073199e-12       6.442279899919e-01       6.001798612056e-01 
