# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=3000
# for k=1.04206e-08 to 1.49015 h/Mpc,
# number of wavenumbers equal to 786
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_m                    7:d_tot                  8:phi                    9:psi                
       1.042057218184e-08      -2.233685256983e-13      -1.675263942737e-13      -1.675263942737e-13      -2.233685256983e-13      -1.675263942737e-13      -1.936795561818e-13       6.599013248819e-01       5.965371208596e-01 
       1.066329848923e-08      -2.338955599946e-13      -1.754216699960e-13      -1.754216699960e-13      -2.338955599946e-13      -1.754216699960e-13      -2.028073924517e-13       6.599013248816e-01       5.965371208593e-01 
       1.091167861863e-08      -2.449187181328e-13      -1.836890385996e-13      -1.836890385996e-13      -2.449187181328e-13      -1.836890385996e-13      -2.123654103920e-13       6.599013248817e-01       5.965371208594e-01 
       1.116584426446e-08      -2.564613817086e-13      -1.923460362815e-13      -1.923460362815e-13      -2.564613817086e-13      -1.923460362815e-13      -2.223738838398e-13       6.599013248807e-01       5.965371208583e-01 
       1.142593018872e-08      -2.685480342597e-13      -2.014110256948e-13      -2.014110256948e-13      -2.685480342597e-13      -2.014110256948e-13      -2.328540421096e-13       6.599013248808e-01       5.965371208584e-01 
       1.169207429241e-08      -2.812043131965e-13      -2.109032348974e-13      -2.109032348974e-13      -2.812043131965e-13      -2.109032348974e-13      -2.438281150222e-13       6.599013248819e-01       5.965371208596e-01 
       1.196441768865e-08      -2.944570641835e-13      -2.208427981376e-13      -2.208427981376e-13      -2.944570641835e-13      -2.208427981376e-13      -2.553193800575e-13       6.599013248834e-01       5.965371208612e-01 
       1.224310477751e-08      -3.083343980816e-13      -2.312507985612e-13      -2.312507985612e-13      -3.083343980816e-13      -2.312507985612e-13      -2.673522117287e-13       6.599013248825e-01       5.965371208602e-01 
       1.252828332259e-08      -3.228657505769e-13      -2.421493129327e-13      -2.421493129327e-13      -3.228657505769e-13      -2.421493129327e-13      -2.799521332853e-13       6.599013248809e-01       5.965371208585e-01 
       1.282010452931e-08      -3.380819446173e-13      -2.535614584630e-13      -2.535614584630e-13      -3.380819446173e-13      -2.535614584630e-13      -2.931458708511e-13       6.599013248821e-01       5.965371208598e-01 
       1.311872312515e-08      -3.540152557894e-13      -2.655114418420e-13      -2.655114418421e-13      -3.540152557894e-13      -2.655114418421e-13      -3.069614101115e-13       6.599013248824e-01       5.965371208601e-01 
       1.342429744164e-08      -3.706994807824e-13      -2.780246105868e-13      -2.780246105868e-13      -3.706994807824e-13      -2.780246105868e-13      -3.214280556776e-13       6.599013248818e-01       5.965371208595e-01 
       1.373698949832e-08      -3.881700090752e-13      -2.911275068064e-13      -2.911275068064e-13      -3.881700090752e-13      -2.911275068064e-13      -3.365764932447e-13       6.599013248826e-01       5.965371208604e-01 
       1.405696508867e-08      -4.064638979997e-13      -3.048479234998e-13      -3.048479234998e-13      -4.064638979997e-13      -3.048479234998e-13      -3.524388546793e-13       6.599013248824e-01       5.965371208601e-01 
       1.438439386797e-08      -4.256199513472e-13      -3.192149635104e-13      -3.192149635104e-13      -4.256199513471e-13      -3.192149635104e-13      -3.690487861767e-13       6.599013248811e-01       5.965371208588e-01 
       1.471944944330e-08      -4.456788016761e-13      -3.342591012571e-13      -3.342591012571e-13      -4.456788016761e-13      -3.342591012571e-13      -3.864415196295e-13       6.599013248824e-01       5.965371208601e-01 
       1.506230946556e-08      -4.666829964958e-13      -3.500122473719e-13      -3.500122473719e-13      -4.666829964958e-13      -3.500122473719e-13      -4.046539473560e-13       6.599013248815e-01       5.965371208591e-01 
       1.541315572367e-08      -4.886770885209e-13      -3.665078163906e-13      -3.665078163907e-13      -4.886770885209e-13      -3.665078163907e-13      -4.237247003581e-13       6.599013248819e-01       5.965371208596e-01 
       1.577217424096e-08      -5.117077301687e-13      -3.837807976265e-13      -3.837807976265e-13      -5.117077301686e-13      -3.837807976265e-13      -4.436942302593e-13       6.599013248821e-01       5.965371208598e-01 
       1.613955537381e-08      -5.358237725184e-13      -4.018678293888e-13      -4.018678293888e-13      -5.358237725184e-13      -4.018678293888e-13      -4.646048951104e-13       6.599013248831e-01       5.965371208609e-01 
       1.651549391254e-08      -5.610763689275e-13      -4.208072766956e-13      -4.208072766956e-13      -5.610763689274e-13      -4.208072766956e-13      -4.865010492335e-13       6.599013248812e-01       5.965371208589e-01 
       1.690018918476e-08      -5.875190835414e-13      -4.406393126560e-13      -4.406393126561e-13      -5.875190835414e-13      -4.406393126561e-13      -5.094291373098e-13       6.599013248827e-01       5.965371208605e-01 
       1.729384516098e-08      -6.152080048997e-13      -4.614060036748e-13      -4.614060036748e-13      -6.152080048997e-13      -4.614060036748e-13      -5.334377928850e-13       6.599013248803e-01       5.965371208579e-01 
       1.769667056282e-08      -6.442018649208e-13      -4.831513986906e-13      -4.831513986906e-13      -6.442018649208e-13      -4.831513986906e-13      -5.585779415399e-13       6.599013248820e-01       5.965371208597e-01 
       1.810887897364e-08      -6.745621634663e-13      -5.059216225998e-13      -5.059216225998e-13      -6.745621634663e-13      -5.059216225998e-13      -5.849029088980e-13       6.599013248823e-01       5.965371208600e-01 
       1.853068895179e-08      -7.063532988001e-13      -5.297649741000e-13      -5.297649741001e-13      -7.063532988000e-13      -5.297649741001e-13      -6.124685337447e-13       6.599013248814e-01       5.965371208590e-01 
       1.896232414650e-08      -7.396427041841e-13      -5.547320281380e-13      -5.547320281381e-13      -7.396427041840e-13      -5.547320281381e-13      -6.413332864674e-13       6.599013248824e-01       5.965371208601e-01 
       1.940401341647e-08      -7.745009909085e-13      -5.808757431813e-13      -5.808757431814e-13      -7.745009909084e-13      -5.808757431814e-13      -6.715583930752e-13       6.599013248820e-01       5.965371208597e-01 
       1.985599095119e-08      -8.110020980744e-13      -6.082515735558e-13      -6.082515735559e-13      -8.110020980744e-13      -6.082515735558e-13      -7.032079650726e-13       6.599013248827e-01       5.965371208605e-01 
       2.031849639514e-08      -8.492234494228e-13      -6.369175870671e-13      -6.369175870671e-13      -8.492234494227e-13      -6.369175870671e-13      -7.363491354442e-13       6.599013248825e-01       5.965371208603e-01 
       2.079177497483e-08      -8.892461175641e-13      -6.669345881731e-13      -6.669345881731e-13      -8.892461175641e-13      -6.669345881731e-13      -7.710522010555e-13       6.599013248814e-01       5.965371208591e-01 
       2.127607762882e-08      -9.311549959455e-13      -6.983662469591e-13      -6.983662469592e-13      -9.311549959454e-13      -6.983662469592e-13      -8.073907717633e-13       6.599013248824e-01       5.965371208602e-01 
       2.177166114080e-08      -9.750389789144e-13      -7.312792341858e-13      -7.312792341859e-13      -9.750389789144e-13      -7.312792341859e-13      -8.454419265460e-13       6.599013248820e-01       5.965371208597e-01 
