#	ell			Dell			sigma(Dell)   
   350.500000000000        83.5079162304413        7.43702763512092     
   400.500000000000       -8.70118696700533        6.20216646953617     
   450.500000000000       -74.8447551629058        5.96794622230896     
   500.500000000000       -53.7655106499768        5.17420434065511     
   550.500000000000        2.45532486398421        5.19111991373273     
   600.500000000000        29.3622762111031        4.61401919666150     
   650.500000000000       -27.7657653275190        4.90605441416922     
   700.500000000000       -99.8678312730261        5.15335404808826     
   750.500000000000       -138.165638390528        4.83224836763004     
   800.500000000000       -91.5168501124984        4.16322101992666     
   850.500000000000        3.25679726850163        3.91448150995747     
   900.500000000000        57.5234515621079        3.97057067167052     
   950.500000000000        38.5452030097851        3.84884994561687     
   1000.50000000000       -29.2164674589505        3.74035776492666     
   1050.50000000000       -72.9375489215372        3.49789225586063     
   1100.50000000000       -73.4264839116214        3.13354931913423     
   1150.50000000000       -26.7537304313287        2.87820110787036     
   1200.50000000000        4.40834080233812        2.86383165009522     
   1250.50000000000       -3.93394247507806        2.87783886426215     
   1300.50000000000       -37.7723895241582        2.71423142207257     
   1350.50000000000       -59.5459652238722        2.71083697684777     
   1400.50000000000       -57.0001319241302        2.55745044439826     
   1450.50000000000       -28.6781037725860        2.34032862584410     
   1500.50000000000      -0.312400979414131        2.28304663450361     
   1550.50000000000        5.21050921808723        2.13187015275217     
   1600.50000000000       -10.3881491235313        2.10989861606530     
   1650.50000000000       -27.0157494615824        2.05165725528917     
   1700.50000000000       -31.4013362727196        1.90093010722114     
   1750.50000000000       -21.3053580950960        1.79797566099005     
   1800.50000000000       -10.8200964491092        1.69781424256699     
   1850.50000000000       -3.88480908023406        1.67335401424685     
   1900.50000000000       -12.0418452991737        1.59652689024343     
   1950.50000000000       -20.5806136968793        1.56406275443572     
   2000.50000000000       -17.7002620352584        1.51148318506933     
   2075.50000000000       -11.6653393869835        1.00618313689146     
   2175.50000000000       -3.44373041719491       0.880731940780503     
   2275.50000000000       -8.15881167449170       0.862999180402085     
   2375.50000000000       -7.67349861174673       0.839369027271671     
   2475.50000000000       -3.38003568048545       0.775864691849275     
   2625.50000000000       -3.92338216177105       0.522783975157810     
   2825.50000000000       -1.16917058131908       0.509101715375419     
   3025.50000000000       -2.06361968772706       0.492156634896971     
   3325.50000000000      -3.483868665348343E-002  0.373572848867096     
   3725.50000000000      -0.678606951651779       0.426859778007771     
   4125.50000000000       0.242902999465045       0.518356131845158     
