#	ell			Dell			sigma(Dell)   
   350.500000000000        18.0681372934053       0.777741551475719     
   400.500000000000        23.2315779449738       0.844413970382690     
   450.500000000000        17.4838340367828       0.680056756074195     
   500.500000000000        8.54322563451788       0.444965723192862     
   550.500000000000        8.31579247546931       0.450725245311326     
   600.500000000000        19.0209336998535       0.729007123925503     
   650.500000000000        32.3841128797156       0.998411428437313     
   700.500000000000        39.1121899763737        1.09361807715305     
   750.500000000000        29.2144415655411       0.898534697284368     
   800.500000000000        16.4579797213998       0.627418605911540     
   850.500000000000        12.9575321907240       0.603213680275821     
   900.500000000000        25.3598535390213       0.838745845615901     
   950.500000000000        39.7388816202229        1.09447598406958     
   1000.50000000000        43.3427255935629        1.18624232822797     
   1050.50000000000        31.9695933379333        1.04772666668030     
   1100.50000000000        19.5983462132579       0.780247764094813     
   1150.50000000000        13.2937176795655       0.635709071705604     
   1200.50000000000        17.1982038347044       0.772034034835634     
   1250.50000000000        27.2352059837602       0.938949952741079     
   1300.50000000000        31.1593718672946        1.01203338723420     
   1350.50000000000        26.4708545513499       0.946959903864009     
   1400.50000000000        17.8355846883534       0.773328563282194     
   1450.50000000000        12.0937152175340       0.692201086586277     
   1500.50000000000        12.8352684804302       0.720000716774121     
   1550.50000000000        17.9144063165068       0.822618241196638     
   1600.50000000000        20.4707073950132       0.901943884130417     
   1650.50000000000        19.0916070524864       0.863584605008546     
   1700.50000000000        13.7673283651810       0.794406876814999     
   1750.50000000000        9.24749810497420       0.704150697338042     
   1800.50000000000        8.10460880549327       0.678802588741495     
   1850.50000000000        9.46667063201015       0.727335865401473     
   1900.50000000000        12.6274164524621       0.765104034648982     
   1950.50000000000        10.4600647201944       0.809975836526561     
   2000.50000000000        8.17398273737067       0.778315236200941     
   2075.50000000000        5.88779608826087       0.491614634300631     
   2175.50000000000        4.92615226723883       0.508633910199283     
   2275.50000000000        5.83893629265731       0.534953983800869     
   2375.50000000000        3.48139706658202       0.541036930148920     
   2475.50000000000        2.64099253055570       0.540328708265253     
   2625.50000000000        2.00034410973546       0.422895910605939     
   2825.50000000000        2.11154817514337       0.457198148119629     
   3025.50000000000       0.401221627871127       0.534933690030723     
   3325.50000000000      -0.779785747139101       0.441787541733194     
   3725.50000000000      -0.241470980220524       0.600085995761216     
   4125.50000000000      -0.210850900840418       0.767785018764530     
